displayweight_i,displayweight_pre_i,displayweight_25_i,displayweight_middle_i,displayweight_high_i,code_s,name_s,orgname_s,url_s,longdescription_t,image_s,tags_s,teachers_notes_s,languages_supported_s,short_code_s,tags_grade_s,string_detail_grades_s,tags_teacher_experience_s,tags_student_experience_s,tags_activity_type_s,tags_subject_s,tags_platform_s,string_platforms_s,string_detail_platforms_s,tags_length_s,tags_programming_language_s,string_detail_programming_languages_s,tags_accessibility_s,string_standards_t,popularityrank_i,popularityrank_pre_i,popularityrank_25_i,popularityrank_middle_i,popularityrank_high_i
1261,1,1,1,1261,pickcode_shapes,Pickcode: Shapes and Spirals,Pickcode,https://app.pickcode.io/course/hoc-shapes-spirals,"Learn to use Pickcode to write code that creates a variety of shapes. Once the course is done, you'll be able to get creative and make whatever design you'd like!",/images/tutorials/hoc2022/pickcode_shapes.png,2022-tutorial,https://docs.google.com/document/d/192qt_cG2sUF-EOqBszxCWALp4S5CMRvPSp1kTsCPLRo/edit?usp=sharing,en,pickcodeshapes,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"math,art",computers,All modern browsers,,1hour,typing,JavaScript,none,,999,999,999,999,999
1259,1,1,1259,1259,educode_lair,Chiroptera's Lair,EduCode Academy,https://app.educode.org/hour-of-code/activity-9,"George is being chased in Chiroptera's Lair and needs your help to escape! Design your own complete 2D puzzle game by following this tutorial and learning the basics of game development. Code your way out of our level, or make your own to challenge your friends!",/images/tutorials/hoc2021/educode_lair.png,2021-tutorial,https://app.educode.org/hour-of-code/activity-9/teacher,"en,en-GB",educodelair,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,"computers,ios","All modern browsers, iPad",,"1hour,1hour-follow",typing,JavaScript,highcontrast,"CSTA 1A-AP-09 Model the way programs store and manipulate data by using numbers or other symbols to represent information.
CSTA 1A-AP-10 Develop programs with sequences and simple loops, to express ideas or address a problem.
CSTA 1A-AP-14 Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
CSTA 1B-AP-10 Create programs that include sequences, events, loops, and conditionals.
CSTA 1B-AP-12 Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
CSTA 2-AP-11 Create clearly named variables that represent different data types and perform operations on their values.
CSTA 3A-AP-14 Use lists to simplify solutions, generalizing computational problems instead of repeatedly using simple variables.
CSTA 3B-AP-16 Demonstrate code reuse by creating programming solutions using libraries and APIs.",999,999,999,999,999
1259,1,1,1259,1,codehs_litter,Coding for a Litter-Free Community,CodeHS,https://codehs.com/hoc_litterfree,"Learn how you can use programming to help solve one of the world's biggest problems: litter and waste! In this Choose-Your-Own-Adventure Hour of Code, you have the choice between the basics of Python or the basics of Web Design. Whichever you choose, you will explore how you can use computer science to decrease the amount of litter in your community.",/images/tutorials/hoc2020/codehs_litter.png,2020-tutorial,https://codehs.com/hoc_guide_litterfree,"en,en-GB",codehslitter,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,"Python, HTML","captions,highcontrast","* 2-AP-17 Systematically test and refine programs using a range of test cases
* 2-AP-12 Design and iteratively develop programs that combine control structures, including nested loops and compound conditionals. ",999,999,999,999,999
1259,1,1,1,1259,techio_python_advanced,Advanced Python Features,Tech.io,https://tech.io/playgrounds/500/advanced-python-features?forceABTesting=Runnable&utm_source=code-org&utm_campaign=HOC2017&utm_term=advanced-python,The interactive tutorial aims to introduce you to useful advanced Python features and tricks you may not know yet to improve your mastery of the Python language.,/images/tutorials/hoc2017/techio_python_advanced.png,2017-tutorial,,en,techapf,"all,9+",University,comfortable,comfortable,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,Python,none,,999,999,999,999,999
1258,1,1258,1258,1,scratch_fly,Make it Fly with Scratch,Scratch,https://scratch.mit.edu/projects/editor/?tutorial=make-it-fly&utm_source=codeorg,"With Scratch, you can create your own interactive games, stories, animations -- and share them with your friends. To get started, learn how to make your own flying character. Activity cards and a workshop guide are also available for free on scratch.mit.edu. ",/images/tutorials/new/scratch_fly.jpg,2016-tutorial,http://resources.scratch.mit.edu/www/guides/en/FlyGuide.pdf,"ca,en,it,nn,pt-BR,pt-PT",scratchfly,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,"art,math",computers,All modern browsers,,1hour,blocks,"Blocks, Scratch",none,"From the CSTA 2016 Draft standards: 
Construct and execute an algorithm (set of step-by-step
instructions) to accomplish a task, both independently and
collaboratively. (K-5)

Interpret the flow of execution of algorithms and predict their
outcomes. 
",151,999,99,999,999
1258,1,1258,1258,1,tynker_dragondash,Dragon Dash,Tynker,https://www.tynker.com/hour-of-code/dragon-dash,"Design your own custom dragon, then use programming to guide it through fun puzzles on its quest for treasure and coins! You'll have to navigate through complex castles, find power-ups, and conquer knights to get all the treasure.",/images/tutorials/new/tynker_dragondash.jpg,2015-tutorial,https://www.tynker.com/courses/code-monsters/tynker-code-monsters-teacher-guide.pdf,en,tynkerdd,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,blocks,"Blocks, Tynker, JavaScript, Python",none,"CCSS-ELA: 3.RI.3, 4.RI.3, 3.RI.5, 3.RF.4, 4.RF.4, 3.L.4 
CSTA: L1:3.CT.1, L1:6.CT.1, L1:6.CPP.1, L1:6.CPP.5, L1:6.CPP.6",191,999,108,999,999
1258,1,1258,1258,1,bitsbox,Build Crazy Apps with Bitsbox,Bitsbox,https://bitsbox.com/hoc2016.html,"Follow the prompts to code five fun mini-apps using real, typed Javascript. From blowing up pie in 'Food Fight' to flushing a notebook down a black hole in 'So Long, Homework!', each app is designed to delight kids while illustrating variables, methods, and more. These apps are also completely open-ended; kids can use them as a starting point for their own app creations. Beginners welcome!
",/images/tutorials/new/bitsbox.jpg,2016-tutorial,https://bitsbox.com/hocteachers.html,"en,en-GB",bitsbox,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,ios","All modern browsers, iOS",,1hour,typing,JavaScript,none,,999,999,999,92,999
1258,1,1,1258,1258,gpblocks_catapult,Build a Catapult,GP Blocks,http://gpblocks.org/hourOfCode2017b,"Participants will build a catapult to launch a ball from one side of the stage to the other, as in the game Angry Birds.",/images/tutorials/hoc2017/gpblocks_catapult.png,2017-tutorial,http://gpblocks.org/pdf/hourOfCode2017/GP_Lesson_Catapult.pdf,en,gpbcatapult,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,"math,science",computers,All modern browsers,,1hour,blocks,Blocks,none,,322,999,999,999,999
1258,1,1,1,1258,techio_linq,Using C# LINQ - A Practical Overview,Tech.io,https://tech.io/playgrounds/213/using-c-linq---a-practical-overview/introduction?utm_source=code-org&utm_campaign=HOC2017&utm_term=using-c-linq,"The C# programming language is quite popular with developers, in a large part because of its many powerful and intuitive language features. One of these is LINQ, a library used to execute queries directly in C# syntax against many types of data. This interactive tutorial will show you how to use it, step by step.",/images/tutorials/hoc2017/techio_linq.png,2017-tutorial,,en,techlinq,"all,9+",University,comfortable,comfortable,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,C#,none,,999,999,999,999,999
1258,1,1,1,1258,techio_js_functional,Practical Introduction to Functional Programming with JS,Tech.io,https://tech.io/playgrounds/2980/practical-introduction-to-functional-programming-with-js/pure-functions?utm_source=code-org&utm_campaign=HOC2017&utm_term=functional-js,"Functional programming is one of those things that may look too hard or too theoretical to try. Wait no more! In this interactive tutorial, you'll discover functional programming through hands-on examples and exercises in JavaScript.",/images/tutorials/hoc2017/techio_js_functional.png,2017-tutorial,,en,techfpjs,"all,9+",University,comfortable,comfortable,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone",,1hour,typing,JavaScript,none,,999,999,999,999,999
1257,1,1,1257,1257,quorum_astronomy,Coding in Astronomy,Quorum,https://quorumlanguage.com/hourofcode/astro1.html,"Learn about coding using themes from computational astronomy in this accessible online tutorial. In it, students will discover how to control telescopes while also practicing with the Quorum programming language's computer graphics engine. By the final lesson, students will create a graphical and accessible map of the stars to find items in the universe.",/images/tutorials/hoc2017/quorum_astronomy.png,2017-tutorial,,en,quorumastro,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"math,science","computers,android,ios,screenreader","All modern browsers, Android tablet, iPad, Windows phone, Android phone, iPhone, Screen reader",,1hour,typing,Quorum,screenreader,It addresses common core and NGSS related standards.,999,999,999,999,999
1257,1,1257,1,1,scriptacademy_alice,Alice in Wonderland,ScriptAcademy,https://www.scriptacademy.net/alice-in-wonderland,Alice in Wonderland is a self-guided puzzle designed for 6+ kids without prior programming experience. You will guide Alice using functions with and without parameters.,/images/tutorials/hoc2017/scriptacademy_alice.png,2017-tutorial,,en,alicewonder,"all,2-5",Grades 2-5,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,typing,JavaScript,none,,999,999,999,999,999
1257,1,1,1257,1,robogarden_intermediate,RoboGarden Coding - Intermediate,RoboGarden,https://playground.robogarden.ca/hourofcode/intermediate,"RoboGarden is an easy to understand, hands-on educational app where students take part in active learning. Fully equipped to teach coding literacy from scratch, RoboGarden reduces the need for a tech-savvy teacher.",/images/tutorials/hoc2018/robogarden_intermediate.png,2017-tutorial,,en,rginter,"all,6-8",Grades 6-8,comfortable,comfortable,online-tutorial,cs-only,"computers,android","Chrome, Firefox, Android tablet",,1hour,blocks,Blocks,none,NGSS,999,999,999,999,999
1256,1,1,1,1256,ibm_hourofz,IBM Hour of Z,IBM,https://ibm.biz/IBM-HOZ,Have you ever withdrawn money from an ATM? Used a credit card to pay for something? All these actions have one thing in common: they all start with a simple click. But what's really happening behind that click? That's Enterprise Computing. Get started learning more about how enterprise computing works today with IBM Hour of Z.,/images/tutorials/hoc2021/ibm_hourofz.png,2021-tutorial,,"en,en-GB",ibmhourofz,"all,9+",Grades 9+,beginner,beginner,online-tutorial,cs-only,"android,computers,ios","Chrome, Firefox, Android phone, iPhone",,1hour,typing,"Python, COBOL",none,,355,999,999,999,999
1256,1,1256,1256,1256,vidcode_card,Vidcode: Bestie Greeting Card,Vidcode,https://app.vidcode.io/hourofcode/gs/1,"Learn how to make a greeting card with JavaScript!

You will learn how to manipulate your own videos by accessing each and every pixel and telling it what to do with CODE!

You can also upload and record your own footage to personalize the experience.

Created in partnership with GSGNY.",/images/tutorials/hoc2017/vidcode_card.jpg,2016-tutorial,https://about.vidcode.com/bestie-greeting-card,en,vidcard,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,art,computers,Chrome,,1hour,typing,JavaScript,none,"This activity addresses Common Core math standards that deal with variables (6.EE.A, 6.EE.B, and 7.EE.B).",999,999,999,999,999
1256,1,1,1256,1256,tynker_analog,Analog Clock STEM Kit,Tynker,https://www.tynker.com/hour-of-code/analog-clock,"Use your knowledge of math and geometry to create a working analog clock with moving second, minute, and hour hands. You'll need to calculate the angle that each hand should point based on what time it is. When you're done, you can add in reminders about what you need to do throughout the day to make your own alarm clock!",/images/tutorials/new/tynker_analog.jpg,2016-tutorial,https://www.tynker.com/hour-of-code/tynker-stem-teacher-guide.pdf,en,tynkerana,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,"computers,android,ios,no-internet","All modern browsers, Android tablets, iPads, Android phones, iPhones",,1hour,blocks,"Blocks, Tynker, JavaScript, Python",none,"CCSS ELA: L.4.1.G, RI.3.3, W.3.6, RI.4.5, RI.4.3, RI.5.10, RST.6-8.4, RST.6-8.7, RST.9-10.5, RST.11-12.3 
CCSS Math: C.3.OA.C.7, MP.3.2, MP.3.8, MD.4.5, NF.4.7 
CSTA: L1:6.CT.1, L1:6.CPP.5, L1:6.CPP.6, L2:9.CT.1, L2:9.CT.3, L2:9.CT.5, L2:9.CT.12, L2:9.CPP.3, L2:9.CPP.5",999,999,999,999,999
1256,1,1256,1256,1,spritebox,Spritebox Coding,Lightbot,http://spritebox.com/hour.html,"Run, jump, and code your way through three different worlds to collect the stars and make it to the finish line! Learn sequencing, debugging and loops, and code in Swift, Java, or with Icons.",/images/tutorials/new/spritebox.png,2016-tutorial,,"en, pt-BR",spritebox,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios,no-internet","All modern browsers, Android tablet, iPad",,1hour,"blocks,typing","Blocks, Java, iOS/Swift",none,"CCSS-Math, CSTA",215,999,120,999,999
1255,1,1,1255,1255,codepip_grid,Grid Garden,Codepip,http://cssgridgarden.com/,Learn all about CSS Grid by tending to your vegetable garden.,/images/tutorials/hoc2017/codepip_grid.png,2017-tutorial,,"zh-CN,en,fr,de,it,fa-IR,pl,pt-BR,ru,es,sv",cssgrid,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"art,math",computers,All modern browsers,,1hour,typing,CSS,none,,264,999,999,999,999
1255,1,1,1255,1255,tynker_counterhack,Counter Hack,Tynker,https://www.tynker.com/hour-of-code/counter-hack,"Save the computer from a malicious virus! You'll have to hack your way through the system by deleting viruses, opening doors, solving mazes, and navigating through the portals. Watch out for viruses and glitches!",/images/tutorials/new/tynker_counterhack.jpg,2015-tutorial,https://www.tynker.com/hour-of-code/tynker-puzzle-teacher-guide.pdf,en,tynkerch,"all,6-8,9+",Grades 6+,beginner,comfortable,online-tutorial,cs-only,computers,"Internet Explorer 11, Microsoft Edge, Chrome, Firefox, Safari",,1hour,typing,JavaScript,none,"CCSS-ELA: 3.RI.3, 4.RI.3, 3.RI.5, 3.RF.4, 4.RF.4, 3.L.4 
CSTA: L1:3.CT.1, L1:6.CT.1, L1:6.CPP.1, L1:6.CPP.5, L1:6.CPP.6",999,999,999,999,999
1253,1,1253,1253,1,tt_passage,The Passage,"Terminal Two, Endless",https://terminaltwo.com/HOC/games/The-Passage?utm_source=Referral&utm_medium=Hourofcode&utm_content=ThePassage,"Immerse yourself in an alien world to help Ada escape unknown dangers. Play through this 2D platforming self-guided adventure and learn coding techniques along the way. Players will become familiar with coding techniques and syntax as they solve puzzles, fight monsters and beat the final boss. Some previous familiarity with JavaScript might be useful but isn't required.",/images/tutorials/hoc2019/tt_passage.jpg,2019-tutorial,,en,ttpassage,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,"Chrome, Firefox",,"1hour,1hour-follow",typing,JavaScript,none,"1A-AP-14
1B-AP-08
2-AP-10
1B-AP-15",209,999,152,999,999
1253,1,1,1253,1,codesters_ecard,Code an Interactive eCard,Learning.com,https://www.codesters.com/curriculum/hour-of-code-2019/Making+an+E-Card/,"Build up your programming skills as you learn how to create an electronic greeting card that you can share with your teacher, family, or friends! ",/images/tutorials/hoc2018/codesters_ecard.png,2018-tutorial,http://guide.codesters.com/hour-of-code-2019/code-an-ecard,"zh-cn,en,es-mx",codestersecard,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,art,"computers,screenreader","All modern browsers, Screen reader",,1hour,"blocks,typing","Blocks, Python",none,"CCSS.MATH.PRACTICE.MP5: Use appropriate tools strategically.
CSTA 1B-A-5-4: Construct programs, in order to solve a problem or for creative expression, by making use of basic coding concepts.
",999,999,999,999,999
1253,1,1,1253,1253,gamefroot_bacteria,Coding Bacteria with Gamefroot,Gamefroot,https://make.gamefroot.com/tutorials/Coding-Salmonella-Bacteria-Hour-of-Code-2021,Students learn about the conditions in which salmonella bacteria can survive while coding a fun simulation game in Gamefroot! This activity is designed for science teachers AND Digital Technologies teachers looking to engage their students in multiple subject areas. ,/images/tutorials/hoc2021/gamefroot_bacteria.jpg,2021-tutorial,,en,gamefrootbacteria,"all,6-8,9+",Grades 6+,comfortable,comfortable,online-tutorial,science,computers,All modern browsers,"Microsoft Edge, Chrome, Firefox, Safari",1hour,blocks,Blocks,none,New Zealand Curriculum (NZQA) ,999,999,999,999,999
1250,1,1,1250,1250,texasinstruments,10 Minutes of Code,Texas Instruments,https://education.ti.com/en/select-country/eu-ti-codes,The 10 Minutes of Code activities can be used in class as a way to spark students' interest in coding with the TI technology they carry in their backpacks everyday.  Learn the basics of coding using the TI-84™ Plus and get started programming in just 10 minutes – no experience needed!  ,/images/tutorials/resubmission/texasinstruments.png,OtherLang,,en,texas-instruments,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,math,"computers,no-internet","TI-84, TI-83 graphing calculators","TI-84, TI-83 graphing calculators",1hour,other,TI Basic,none,,999,999,999,999,999
1248,1,1,1248,1248,educode_forest,The Frosted Forest,EduCode Academy,https://app.educode.org/hour-of-code/activity-8,"Alex has been trapped in the Frosted Forest for a while. Can you help them escape? This easy-to-follow tutorial teaches you how to build and customize a complete puzzle game that runs in any modern browser. Try to beat our level, or create your own to challenge your friends!",/images/tutorials/hoc2021/educode_forest.png,2021-tutorial,https://app.educode.org/hour-of-code/activity-8/teacher,"en,en-GB",educodeforest,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,cs-only,"computers,ios","All modern browsers, iPad",,"1hour,1hour-follow",typing,JavaScript,highcontrast,"CSTA 1A-AP-09 Model the way programs store and manipulate data by using numbers or other symbols to represent information.
CSTA 1A-AP-10 Develop programs with sequences and simple loops, to express ideas or address a problem.
CSTA 1A-AP-14 Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.
CSTA 1B-AP-09 Create programs that use variables to store and modify data.
CSTA 1B-AP-12 Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.
CSTA 3B-AP-16 Demonstrate code reuse by creating programming solutions using libraries and APIs.",999,999,999,999,999
1248,1,1248,1248,1,codemoji_pizza,Make Pizza with JavaScript,Codemoji,https://food.codemoji.com/,"This course is designed to teach students the fundamentals of JavaScript objects. Students will learn the basic types of data that can be stored in variables, from their first boolean all the way to creating their own objects with multiple properties. The activity makes complex concepts easy to understand by using everyone's favourite food: Pizza!",/images/tutorials/hoc2018/codemoji_pizza.png,2018-tutorial,https://docs.google.com/document/d/1nLdeOH1J9cYTZ90XQjigoQ_cDXqX1pTnz-sxdhkXs80/edit?usp=sharing,en,codemojipizza,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,math,computers,All modern browsers,,1hour,typing,JavaScript,tts,,999,999,999,999,999
1248,1,1248,1248,1,toxicode_dot,Little Dot Adventure,Toxicode,http://little-dot.toxicode.fr/?hour-of-code,"Select a card from your deck and interpret its code in order to progress through the world. Use your intuitive abilities to guess the rules and learn from your own mistakes. Made with care by the team behind Compute it and Silent Teacher, with the same fundamentals: trial-and-error instead of verbose explanations, smooth progression, no code to type, accessibility to absolute beginners.",/images/tutorials/hoc2018/toxicode_dot.png,2018-tutorial,http://little-dot.toxicode.fr/about.html,"en,fr,de,id,it,pt-br,pt-pt,ro,es,es-mx,tr",toxicodedot,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,All modern browsers,,1hour,other,Language independent (can be taught in multiple languages),none,,89,999,999,999,999
1248,1,1,1248,1,bsd_ocean,Life Below Water,BSD Education,https://app.bsd.education/project/life-below-water--bsd-start,Life below Water sheds light on a pressing issue that we face nowadays - our environment. This project focuses on guiding you to code your very own webpage on protecting our waters.,/images/tutorials/hoc2020/bsd_ocean.png,2020-tutorial,,en,bsdocean,"all,6-8",Grades 6-8,beginner,beginner,online-tutorial,cs-only,computers,Chrome,,1hour,typing,"JavaScript, HTML, CSS",highcontrast,CSTA and ISTE standards,999,999,999,999,999
1248,1,1248,1248,1248,tynker_htmlenergy,Affordable and Clean Energy (HTML),Tynker,https://www.tynker.com/hour-of-code/affordable-and-clean-energy-html,"Part of the UN Sustainable Development Goals project, this coding project has you create your own webpage exploring renewable energy, energy efficiency, and access to energy. Design your own page showcasing sustainability issues! ",/images/tutorials/hoc2019/tynker_htmlenergy.png,2019-tutorial,https://www.tynker.com/hour-of-code/affordable-and-clean-energy-html-guide.pdf,en,tynkerhtmlen,"all,2-5,6-8,9+",Grades 2+,comfortable,comfortable,online-tutorial,"art,history,la,science",computers,All modern browsers ,,1hour,typing,"HTML, CSS",none,,999,999,999,999,999
1246,1,1246,1246,1246,tynker_arcade,Undersea Arcade Game Kit,Tynker,https://www.tynker.com/hour-of-code/undersea-arcade,"Make your own top-down arcade shooter game. Start by programming the fish to move up and down when the arrow keys are pressed, then code the sharks to swim across the screen. You'll personalize the game by adding custom assets for the hero, the villain, and the background. Your game could be set at the beach, in the forest, or even in outer space!",/images/tutorials/new/tynker_arcade.jpg,2016-tutorial,https://www.tynker.com/hour-of-code/tynker-build-an-app-teacher-guide.pdf,en,tynkerarc,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,cs-only,"computers,android,ios,no-internet","All modern browsers, Android tablets, iPads, Android phones, iPhones",,1hour,blocks,"Blocks, Tynker, JavaScript, Python",none,"CCSS ELA: RI.2.3, RI.3.3, W.3.6, RI.4.3, RI.4.5, RI.5.10, RST.6-8.3, RST.6-8.4, RST.6-8.7, RST.9-10.5, RST.11-12.3 
CCSS Math: MP.3.8 
CSTA: L1:6.CT.1, L1:6.CPP.5, L1:6.CPP.6, L2:9.CT.1, L2:9.CT.3, L2:9.CT.4, L2:9.CT.12, L2:9.CPP.3, L2:9.CPP.5",999,999,153,999,999
1246,1,1,1246,1246,vidcode_climatesci,Vidcode: Climate Science & Code,Vidcode,https://app.vidcode.io/project/hourofcode-science,"Students research a fact about the Earth's climate, engaging with the work of scientists and artists in response to climate change. Students take their research and plan a video sharing their fact. Videos can be about understanding climate changes and its effects, public responses to climate change, how climate change impacts everyday life, and the actions you take to make a difference.",/images/tutorials/hoc2017/vidcode_climatesci.jpeg,2016-tutorial,https://about.vidcode.com/climate-science-and-code,en,vidclim,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,science,computers,"Chrome, Firefox, Safari",,"1hour,1hour-follow",typing,JavaScript,none,"This project is aligned with Common Core math standards that focus on comparisons and inequalities (4.NBT.A, 5.NBT.A, and 6.EE.B). When students are given the opportunity to customize and improve their games, this project aligns with the Next Generation Science Standards for engineering at all grade levels (3-5-ETSI-1, 3-5-ETSI-2, 3-5-ETSI-3, MS-ETSI-1, MS-ETSI-2, MS-ETSI-3, MS-ETS1-4, and HS-ETSI-2).

Extension #1 of this project is aligned with Common Core math standards that emphasize angles (4.MD.C) and patterns (4.OA.C). Extension #2 of this project is aligned with Common Core math standards that involve arithmetic and algebraic expressions (5.OA.A, 6.EE.A, and 7.EE.B) and proportions (6.RP.A and 7.RP.A). ",999,999,999,999,999
1245,1,1,1245,1245,matlab,Learn to Code with MATLAB,MathWorks,https://learntocode.mathworks.com/,"Learn to Code is an engaging, online, interactive tutorial where you learn how to code. Use MATLAB to find out if the closest meet-up location with your friends is the movies, the mall, or the cafe. Break the problem up into smaller chunks and learn basic programming concepts along the way. By the end of the hour, create an algorithm to find the shortest path to your friends!",/images/tutorials/new/matlab.jpg,2016-tutorial,,en,matlab,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,"math,science",computers,All modern browsers,,1hour,typing,MATLAB,none,"ISTE, CSTA, NGSS, Common Core, K-12 CS Framework, AP CS A, AP CS Principles, Stanford University, ACM K12, Massachusetts, Arkansas, Idaho, Israel, Australia, British Columbia",999,999,999,999,999
1244,1,1,1,1244,js_hero,JS Hero,Stefan Trenkel,http://www.jshero.net/,JS Hero wants to take you into the world of JavaScript programming. On each page you will find a small lesson and a small programming task. The task can be answered directly on the page. And you are immediately told if you have solved the problem correctly or if you made a mistake.,/images/tutorials/hoc2017/js_hero.png,2017-tutorial,,"en,de",jshero,"all,9+",Grades 9+,beginner,beginner,online-tutorial,math,"computers,android","All modern browsers, Android tablet, Android phone",,"1hour,1hour-follow",typing,JavaScript,none,,999,999,999,999,999
1243,1,1,1243,1243,galaxy_game,Galaxy Game Jam,Catrobat,http://catrob.at/HourOfCode,"Grab your Android smartphone and explore distant galaxies! At the #GalaxyGameJam you can create your very own Android app. Design it with our free Pocket Code app and become part of our mission to outer space. With Pocket Code we aim to inspire kids, teenagers, and young adults to create their very own games, animations, and interactive stories directly on their smartphones. 
",/images/tutorials/new/galaxy_game.jpg,2016-tutorial,,"sq,ar,bs,zh-CN,hr,cs,da,nl,en,fr,de,he,id,it,ja,ko,fa-IR,pl,pt-BR,pt-PT,ro,ru,sl,es,sv,tr,vi",galaxy,"all,6-8,9+",Grades 6+,beginner,beginner,online-tutorial,science,"android,no-internet","Android tablet, Android phone",Android,"1hour,1hour-follow",blocks,Blocks,none,,159,999,999,999,999
1243,1,1243,1,1,codemoji_python,Python Lab,Codemoji,https://itunes.apple.com/us/app/python-lab/id1147471002?mt=8,"Python Lab is an IOS based activity that teaches the basics of the programming language python. Users will learn about loops, arrays, booleans and much more.",/images/tutorials/hoc2017/codemoji_python.jpg,2017-tutorial,,en,codemojipy,"all,2-5",Grades 2-5,beginner,beginner,online-tutorial,math,ios,"iPad, iPhone",,1hour,typing,"iOS/Swift, Python",none,,999,999,999,999,999
1242,1,1242,1242,1,infinity,Infinity Play Lab,Code.org,https://studio.code.org/s/infinity/reset,Use Play Lab to create a story or game starring Disney Infinity characters.,/images/tutorials/resubmission/infinity.png,"infinity,2015-tutorial",,"ar,bg,ca,cs,da,de,en,es,el,fa,fi,fr,hr,hu,is,id,it,ja,ka,ko,lt,nl,nn,no,pl,pt,pt-br,pt-pt,ro,ru,sk,sl,sv,tr,uk,zh,zh-tw,zh-cn",inf,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,"computers,android,ios","All modern browsers, Android tablet, iPad, Android phone, iPhone",,"1hour,1hour-follow",blocks,Blocks,"screenreader,captions",,90,999,97,97,999
1242,1,1242,1242,1,tt_frog,Frog Squash,"Terminal Two, Endless",https://terminaltwo.com/HOC/games/Frog-Squash?utm_source=Referral&utm_medium=Hourofcode&utm_content=FrogSquash,"Nostalgia turns educational in this familiar game with a new twist! In an easy-to-understand and self-guided game, you will use codeblocks and programming concepts to help your frog friend safely cross the treacherous lands. Perfect for beginners and experts alike!",/images/tutorials/hoc2019/tt_frog.jpg,2019-tutorial,,en,ttfrog,"all,2-5,6-8",Grades 2-8,beginner,beginner,online-tutorial,cs-only,computers,"Chrome, Firefox",,"1hour,1hour-follow","blocks,typing","Blocks, JavaScript",none,"2-AP-10
1B-AP-10
1B-AP-15",345,999,999,123,999
1241,1,1241,1241,1241,tynker_solar,Solar System STEM Kit,Tynker,https://www.tynker.com/hour-of-code/solar-system,Program an interactive model of our Solar System. This project comes with step-by-step instructions that guide you through creating a simulation with planets orbiting the Sun. Then add facts about each planet that pop up when clicked.,/images/tutorials/new/tynker_solar.jpg,2016-tutorial,https://www.tynker.com/hour-of-code/tynker-stem-teacher-guide.pdf,en,tynkersol,"all,2-5,6-8,9+",Grades 2+,beginner,beginner,online-tutorial,science,"computers,android,ios,no-internet","All modern browsers, Android tablets, iPads, Android phones, iPhones",,1hour,blocks,"Blocks, Tynker, JavaScript, Python",none,"CCSS ELA: L.4.1.G, RI.3.3, W.3.6, RI.4.5, RI.4.3, RI.5.10, RST.6-8.4, RST.6-8.7, RST.9-10.5, RST.11-12.3 
CCSS Math: C.3.OA.C.7, MP.3.2, MP.3.8, MD.4.5, NF.4.7 
CSTA: L1:6.CT.1, L1:6.CPP.5, L1:6.CPP.6, L2:9.CT.1, L2:9.CT.3, L2:9.CT.5, L2:9.CT.12, L2:9.CPP.3, L2:9.CPP.5",304,999,999,999,999
