state_code_s!,state_name_s,cs_jobs_i,growth_vs_average_f,cs_graduates_i,count_schools_teach_cs_i,job_student_gap_i,state_plan_s,cs_standards_s,pd_funding_s,cs_teacher_cert_s,pre_service_s,state_position_s,require_hs_s,require_k12_s,cs_counts_t,higher_ed_entrance_s,grad_requirement_s,text_t,petition_url_t,action_url_s,action_text_s,avg_sal_computing_i,sal_x_jobs_bi,avg_sal_all_i,preservice_prepared_i,percent_female_cs_grad_i,percent_cs_exams_f,ap_cs_exams_i,percent_ap_female_i,ap_hispanic_i,ap_black_i,ap_native_american_i,ap_hawaiian_i,total_ap_students_color_i,schools_ap_cs_i,percent_schools_ap_cs_i,number_additional_schools_i,ap_csa_exams_i,percent_ap_csa_female_i,ap_csa_hispanic_i,ap_csa_black_i,ap_csa_native_american_i,ap_csa_hawaiian_i,percent_schools_ap_csa_i,ap_csp_exams_i,percent_ap_csp_female_i,ap_csp_hispanic_i,ap_csp_black_i,ap_csp_native_american_i,ap_csp_hawaiian_i,percent_schools_ap_csp_i,principals_core_i,principals_barrier_s,website_url_s,school_district_partners_t,professional_learning_partners_t,other_partners_t,num_affiliates_i,num_elementary_trained_i,num_ecs_csd_i,num_csp_i,num_ms_trained_i,num_hs_trained_i,es_using_codeorg_i,ms_using_codeorg_i,hs_using_codeorg_i,female_codeorg_i,black_codeorg_i,hispanic_codeorg_i,native_american_codeorg_i,hawaiian_codeorg_i,white_codeorg_i,asian_codeorg_i,two_codeorg_i,urm_codeorg_i,rural_codeorg_i,highneed_codeorg_i,num_hoc_i,ap_calc_i,ap_bio_i,ap_phy_i,ap_stats_i,ap_chem_i,ap_env_sci_i,ap_cs_i,student_studio_acct_i,teacher_studio_acct_i,policy_0_t,policy_1_t,policy_2_t,policy_3_t,policy_4_t,policy_5_t,policy_6_t,policy_7_t,policy_8_t,policy_9_t,pd_funding_exception_s,require_hs_exception_s,cs_standards_exception_s,ecep_name_s,ecep_email_s,ecep_name_2_s,ecep_email_2_s,ecep_url_s,code_name_s,code_email_s,state_plan_t,standards_t,funding_t,certification_t,preservice_t,state_cs_t,hs_t,count_t,higher_ed_t,grad_requirement_t
PA,Pennsylvania,13903,2.1,4985,77,-8918,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,,,,NA,89590,1245571249,62120,4,24%,1.48%,6207,27%,341,275,36,3,655,330,43%,34,2361,21%,124,71,10,2,28%,3846,31%,217,204,26,1,31%,71%,Other,www.code.org/promote/PA,no school districts in the state,Allegheny Intermediate Unit 3 and Montgomery County Intermediate Unit (MCIU),none,28,4181,307,179,0,5,22,20 ,25 ,47,16,9,0,0,53,5,5,37,26,34,2512000,14524,7550,8611,7187,6102,3048,1891,1971857,30770,,,,,,,,"Pennsylvania has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,NA,NA,NA,NA,NA,Amber Mariano Davis,amber@code.org,,"Pennsylvania endorsed the CSTA K–12 Computer Science Standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","Pennsylvania budgets (Act 1A for FY 2019, FY 2020, the FY 2021 interim budget, and FY 2022) each dedicated $20M annually to PAsmart, a program established to expand STEM and computer science education, including teacher professional development. PAsmart grants prioritize proposals that boost participation in computer science education for historically underserved and underrepresented populations.","In Pennsylvania, teachers with existing licensure can obtain a 9–12 certification through passing the state content exam; teachers can also earn an initial license in computer science. ",The Pennsylvania Department of Education developed specific program guidelines for state approval of professional educator programs in computer science and lists these programs publicly. ,The Pennsylvania Department of Education has a Consultant to the Secretary of Education on STEM/Computer Science.,,"In Pennsylvania, any computer science course aligned with the computer science standards can count as a mathematics or science credit for graduation.",,
RI,Rhode Island,3213,2.1,522,86,-2691,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,,NA,86558,278112270,46810,0,28%,0.79%,737,31%,59,33,1,1,94,45,66%,5,164,28%,17,1,0,0,29%,573,31%,42,32,1,1,57%,0,No,www.code.org/promote/RI,no school districts in the state,University of Rhode Island,the State of Rhode Island,9,1208,94,88,0,0,33,34 ,45 ,47,8,17,1,0,54,4,5,37,16,32,366000,1265,877,884,569,485,438,94,224977,4772,,,,,,,Rhode Island is working towards bringing computer science to all secondary schools.,"Rhode Island allows computer science to count for a core graduation requirement. This policy is not written down and publicly accessible, but we are working with the state to release public documentation. ",,,,Working towards all high schools to offer CS,,Vic Fay-Wolfe,vfaywolfe@uri.edu,Holly Walsh,Holly.Walsh@ride.ri.gov,https://www.cs4ri.org/,Hannah Weissman,hannah.weissman@code.org,CS4RI (a partnership between the Governor’s office and the Rhode Island Department of Education) created a state plan for computer science education implementation. One of the goals of the plan is to broaden participation among populations that are underrepresented in computer science.,"Rhode Island adopted K–12 computer science standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity. Additionally, standards can be met without computing devices or with limited hardware access, making implementation possible for all schools.","H 5151A (FY 2020), H 7200A (FY 2019), H 5175 (FY 2018), and H 7454 (FY 2017) allocated $210K annually for computer science professional development. Grants focus on broadening participation, and priority is given to Title I-eligible schools. The Department received a $2.5M federal grant to support the creation of high school computer science pathways that incorporate work-based learning.","In Rhode Island, teachers with existing licensure can obtain an endorsement through academic coursework from an approved provider. ",The Rhode Island Department of Education has approved teacher preparation programs leading to the endorsement in computer science and lists those programs publicly.,"The Rhode Island Department of Education has a core team advancing the goals of CS4RI, including the Digital Learning Specialist, CS4RI High School Grant Project Manager, and CS4RI Work-Based Learning Specialist.","Rhode Island requires every student to graduate successfully demonstrating proficiency in computer science beginning with the class of 2028. Previously, the CS4RI initiative and the Governor’s office set a goal for all students to have access to computer science courses by the end of 2017.","In Rhode Island, all students must take one credit of computer science to graduate. ",,"In November 2022, after several months of public comment and multi-stakeholder collaboration, the Board of Education approved new secondary regulations. These regulations included real-world relevant proficiencies, one of which requires that students must demonstrate proficiency in computer science (starting with the class of 2028)."
SC,South Carolina,4903,1.9,823,93,-4080,Other,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,,,,NA,77383,379406714,49330,0,19%,0.76%,2124,34%,163,184,17,2,366,86,25%,15,437,26%,22,24,4,0,9%,1687,37%,141,160,13,2,22%,73%,Yes,www.code.org/promote/SC,no school districts in the state,The STEM Center of Excellence at the Citadel,none,11,1335,346,275,0,0,20,37 ,38 ,47,33,7,0,0,44,2,4,51,43,59,1690000,4311,2940,1987,2425,1435,1119,374,661872,13992,,,,,,South Carolina is in the process of filling a position to oversee computer science.,,,,,,,,Jennifer Albert,jennifer.albert@citadel.edu,NA,NA,NA,Pat Yongpradit,pat@code.org,,"South Carolina adopted K–8 computer science and digital literacy standards in 2017 and high school standards in 2018. Standards address concepts of equity, such as bias, accessible technology, and inclusivity.","H 4300 (FY 2024) allocated $3.5M to teacher professional development. H 4100 (FY 2022) allocated $1.768M to teacher professional development, certification, and regional computer science specialists. H 4000 (FY 2020) allocated $500K to teacher professional development; that funding continued in FY 2021 through a continuing resolution. H 3720 (FY 2018) allocated $400K to the Department of Education to implement the Computer Science Task Force's recommendations.","In South Carolina, teachers with or without existing licensure can obtain 9–12 certification by completing an approved preparation program and passing the state content exam. The state provided dedicated funding in FY 2022 to offset the cost of computer science certification.",There are program approval standards (CS teacher standards) but no universities currently meet them.,The South Carolina Department of Education has a Computer Science Specialist.,"The South Carolina Department of Education revised the list of courses that satisfy the computer science graduation requirement, effectively requiring all high schools to offer at least one computer science course by the 2018–2019 school year (with waivers available until the 2020–2021 school year) and requiring all students to take at least one credit of computer science to graduate.","In South Carolina, all students must take one credit of computer science to graduate. Multiple computer science courses are approved to meet the credit.","Computer science can count as the fourth mathematics credit required for admission at institutions of higher education. Further, students are strongly encouraged to take computer science as a high school elective. ","The South Carolina Department of Education modified the existing technology requirement to be a robust computer science graduation requirement, beginning in school year 2019-2020, schools were able to apply for a 1 year waiver."
SD,South Dakota,953,1.7,300,39,-653,No,No,No,Yes,No,No,No,No,Yes,No,No,,,,NA,67305,64141456,54230,0,19%,0.62%,49,14%,5,1,1,0,7,5,7%,0,8,25%,0,0,0,0,1%,41,12%,5,1,1,0,7%,52%,Other,www.code.org/promote/SD,no school districts in the state,Technology & Innovation in Education,none,12,1158,84,38,0,2,27,22,18 ,48,8,6,4,1,64,3,5,28,55,12,192000,515,300,231,177,276,118,26,203593,3765,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,,,,"In South Dakota, teachers with existing licensure can obtain a K–6 or 7–12 endorsement through academic coursework or passing the Praxis CS exam.",,,,"In South Dakota, a state-approved advanced computer science course can count as a science credit for students who earn a regular diploma.",,
TN,Tennessee,7655,1.9,924,60,-6731,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,NA,79239,606574289,53400,0,17%,0.71%,1892,33%,166,255,15,1,437,120,32%,29,376,29%,19,13,1,0,12%,1516,34%,147,242,14,1,28%,63%,Other,www.code.org/promote/TN,no school districts in the state,Tennessee STEM Innovation Network,none,15,1700,193,183,0,3,18,24 ,20 ,46,21,10,0,0,53,3,4,41,38,20,864000,4185,2754,2683,2285,2128,1431,395,809633,17488,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,The Tennessee Department of Education presented the Tennessee Computer Science State Education Plan to the legislature in April 2020 and posted a timeline for each recommendation on the department website. ,Tennessee published a comprehensive set of K–12 computer science standards in July 2020.,"HB 2153 (FY 2023-24) includes $1,266,300 for computer science education, including professional development and the implementation of a graduation requirement in computer science. This funding will continue in future years. PC 651 (FY 2021) includes $518K for computer science education, including professional development, within the Governor's Future Workforce Initiative.","In Tennessee, teachers with existing licensure can obtain the Computer Science Employment Standard endorsement after completing approved professional development. An initial license in computer science requires completing academic coursework and passing the Praxis CS exam. In 2022, the legislature passed a bill requiring approval of a new endorsement in computer science.",The Tennessee Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Tennessee Department of Education has a Director of STEAM and Computer Science. ,"HB 2153 (2022) requires that by the 2024-2025 school year, high school students receive one full school year of computer science education to satisfy graduation requirements, middle school students receive one course in computer science education, and elementary school students receive grade-appropriate computer science education.","In Tennessee, all high school students must receive one full school year of computer science education to satisfy graduation requirements. Previously, computer science could count as a mathematics credit for graduation.",,"HB 2153 (2022) required that by the 2024-2025 school year, high school students receive one full school year of computer science education to satisfy graduation requirements, middle school students receive one course in computer science education, and elementary school students receive grade-appropriate computer science education."
TX,Texas,45931,2.1,5538,47,-40393,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,,,NA,94779,4353312390,55450,13,21%,1.12%,14483,29%,3882,558,72,14,4526,544,28%,38,6577,24%,1351,197,31,6,20%,7906,33%,2531,361,41,8,20%,70%,No,www.code.org/promote/TX,"Aldine Independent School District, Dallas Independent School District, Grapevine-Colleyville ISD, and Houston Independent School District",The University of Texas at Austin,none,33,10783,449,325,69,57,14,21 ,15 ,41,13,34,1,0,27,9,4,60,24,59,4361000,33394,19894,44795,16459,12610,14059,6060,3019509,76077,,,Texas provides state funding through the CTE weighted funding allotment to districts that enroll students in high school computer science courses. This weighted funding can be used for teacher professional development. Texas has an opportunity to support the entire computer science pipeline by designating state funds for K-8 computer science as well.,,,,,,,,Provides funding for high school CS PD but no K-8 funding,,"9-12 CS standards exist, but no K-8 standards",Dr. Carol Fletcher from the University of Texas at Austin,Cfletcher@tacc.utexas.edu,NA,NA,NA,Amber Mariano Davis,amber@code.org,"Although HB 2984 (2019) required the development of a state plan for computer science, Texas has not made progress towards a state plan. ",Texas adopted the Texas Essential Knowledge and Skills (TEKS) Fundamentals of Computer Science for K-8 in June 2022 and TEKs at the high school level contain computer science standards.,"HB 1 (FY 2024 and 2025) and SB 1 (FY 2022 and 2023) allocated $2.585M to make an AP Computer Science Principles course available in every high school and HB 3 and HB 963 (2019) consolidated all computer science (or technology applications) courses into CTE and allowed schools to receive weighted funding for students enrolled in those courses in grades 7–12. HB 1 additionally allocated $5,000,000 in both FY 2024 and FY 2025 is to be used to consolidate and streamline computer science education by establishing a statewide Computer Science Pipeline Initiative. In addition to the $10M, an additional $4M is appropriated to the Higher Education Coordinating Board, contingent upon the Computer Science Pipeline Initiative has raised at least $4,000,000 in gifts and donations by FY 2025. ","In Texas, teachers with or without existing licensure can obtain an 8–12 certification by completing a state-approved teacher preparation program and passing certification exams. ",The Texas Education Agency has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,,The Texas State Board of Education added computer science courses to the list of required offerings at high schools (19 TAC § 74.3) in 2014. ,"In Texas, AP Computer Science A, IB Computer Science Higher Level, or discrete math can count as a required mathematics course for graduation. Computer science can also count as an advanced science credit, and multiple course options can satisfy the foreign language requirement. ",Computer science can count as the fourth mathematics credit required for admission at institutions of higher education in Texas.,
UT,Utah,5515,1.8,4310,73,-1205,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,,,,NA,85899,473730609,62330,6,10%,0.31%,641,24%,50,7,3,2,62,40,20%,7,232,17%,19,3,0,0,11%,409,29%,31,4,3,2,14%,65%,No,www.code.org/promote/UT,Canyons School District and Provo Public Schools,mindSpark Learning,none,7,1180,160,119,29,53,32,36 ,34 ,43,3,14,1,2,65,2,4,28,25,16,1142000,4441,1676,1923,2358,972,510,129,862781,12633,,,,,,,,,,,,,,Helen Hu,hhu@westminstercollege.edu,NA,NA,NA,Amber Mariano Davis,amber@code.org,"Utah adopted the Utah Computer Science Education Master Plan in 2019. The plan includes a section on diversity with goals and recommendations to expand access to rural, low-income, and female students. The Community Foundation of Utah and the Silicon Slopes community created the Silicon Slopes Computer Science Fund to invest in computer science education initiatives outlined in the state plan.","Utah adopted K–5 computer science standards in September 2019 and 6–12 standards in May 2020. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 2 (FY 2023) allocated $8M for Computer Science Initiatives. HB 2 (FY 2022) allocated $5M for Computer Science Initiatives. HB 227 (FY 2020) allocated $3.15M for the Computer Science for Utah Grant Program. Applicants must describe how they will increase the number of female and traditionally underserved students, ensure content is accessible to all students, and strategies for increasing diversity in K–12 computer science. SB 190 (FY 2018 and 2019) allocated $1.2M annually for the Computing Partnerships Grants program. SB 93 (FY 2017) allocated $400K for computer science. ","In Utah, teachers with existing secondary or CTE licensure can obtain up to six course-specific 6–12 endorsements. Each endorsement requires a combination of experience or coursework, exams, professional development, and more.",The Utah State Board of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Utah State Board of Education has a Computer Science State Specialist.,,"In Utah, a computer programming course can replace the third mathematics credit (Secondary III) by request from a parent, or it can count as a science credit. AP Computer Science, Computer Science Principles, and Computer Programming II are approved to count as a science graduation credit. All students must take a course in Digital Studies, and four of the six courses that can fulfill the requirement are computer science. ",,
VA,Virginia,31219,2.2,2679,75,-28540,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,,NA,106580,3327323809,68740,0,20%,1.85%,5662,29%,441,353,17,3,814,184,40%,17,3344,29%,236,173,7,1,29%,2318,30%,205,180,10,2,26%,64%,No,www.code.org/promote/VA,no school districts in the state,CodeVA,none,7,1344,258,134,104,111,17,22 ,17 ,41,21,8,0,0,44,11,5,41,36,35,1747000,14172,6798,8143,6752,4142,6306,2856,1167510,28453,,,,,,,,,,,,,,Chris Dovi,cdovi@codevirginia.org,Rebecca Dovi,rebeccadovi@codevirginia.org,NA,Pat Yongpradit,pat@code.org,,"Virginia added mandatory K–12 computer science standards to the state Standards of Learning in 2017, effectively requiring all K–12 schools to offer instruction in computer science. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","HB 30 (FY 2021 and 2022) allocated $1.35M annually to support computer science education and implementation of the standards, including professional development. HB 30 (FY 2021 and 2022), HB 1700 (FY 2019 and 2020), and HB 1500 (FY 2017 and 2018) also allocated $550K annually for K–12 computer science professional development with CodeVA. ","In Virginia, teachers with existing licensure can obtain an endorsement through academic coursework or passing the Praxis CS exam. An initial license in computer science requires completing a state-approved program or academic coursework. The Department of Education convened a workgroup on micro-credentials for certification in subjects including computer science and is now developing recommendations as authorized by HB 836 (2020).",The Virginia Department of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Virginia Department of Education has a Computer Science Coordinator.,"HB 831 (2016) added computer science into the Virginia K–12 Standards of Learning, which all schools must implement. ","Virginia has two diploma options an advanced (https://www.doe.virginia.gov/instruction/graduation/advanced_studies.shtml) and a standard (https://www.doe.virginia.gov/instruction/graduation/standard.shtml). Under the advanced a CS course can count as math or science or meet one of their requirements under the ""Fine Arts or CTE"" course requirement row, but it can not meet the World Languages requirement. Under the Standard Diploma program ""World Language, Fine Arts OR CTE"" have been combined to one requirement set and CS can meet the CTE requirement under this section. So any student with a standard diploma could take a CTE course and a CS (as an additional CTE) and meet these 2 required credits (therefore eliminating the requirement for a fine arts or world language ... only for a standard diploma though). The courses below may be used as part of a CTE sequence* to meet graduation requirements Programming – 10152, Advanced Programming – 10152, AP Computer Science A – 10157, AP Computer Science Principles – 10019",,
VT,Vermont,2106,4.2,472,76,-1634,No,No,No,Yes,Yes,No,No,No,Other,No,No,,,,NA,79185,166764177,53120,0,18%,1.09%,157,18%,5,1,0,0,6,15,22%,3,92,15%,3,1,0,0,13%,65,23%,2,0,0,0,13%,62%,Other,www.code.org/promote/VT,no school districts in the state,none,none,2,176,10,13,0,0,8,9 ,10 ,36,4,9,1,0,69,8,5,18,71,28,179000,825,591,320,395,308,134,70,52944,1620,,,,,,,,"Vermont has passed policy that is permissive and encouraging for schools to allow computer science to count for a core graduation requirement, but it is not a requirement for schools.",,,,,,NA,NA,NA,NA,NA,Amber Mariano Davis,amber@code.org,,,,"In Vermont, teachers with existing licensure can obtain a 7–12 endorsement by demonstrating knowledge standards, performance standards, and completing academic coursework. ",The Vermont Agency of Education has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,"Although the Vermont Agency of Education does not have a position dedicated to computer science education, the Education Technology Coordinator oversees computer science education. ",,Vermont passed a permissive and encouraging policy to allow computer science to count towards a core graduation requirement at the district level. ,,
WA,Washington,12568,1.2,2491,47,-10077,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,NA,112623,1415446460,52110,0,26%,2.23%,4230,30%,303,76,19,11,409,177,44%,10,2439,30%,151,26,8,7,29%,1791,30%,152,50,11,4,27%,65%,No,www.code.org/promote/WA,"Bainbridge Island School District, Bellevue School District, Bremerton School District, Central Valley School District, Cheney School District, Clover Park School District, East Valley School District, Eatonville School District, Enumclaw School District, Everett Public Schools, Franklin Pierce School District, Highline School District, Marysville School District, Shoreline School District, Spokane Public Schools, Tacoma Public Schools, Tukwila School District, and West Valley School District",AVID,none,28,3509,310,183,117,129,30,25 ,16 ,42,7,13,1,2,45,12,7,36,15,40,5022000,9383,4384,4607,3543,3247,2946,1945,1562637,46898,,,,,,,,,,,,,,Amy J Ko,ajko@uw.edu,Shannon Thissen,Shannon.Thissen@k12.wa.us,https://sites.google.com/uw.edu/csforallwa/,Maggie Glennon,maggie@code.org,"The Washington State Office of Superintendent of Public Instruction adopted a plan for K–12 computer science education in 2022. The plan includes a section on diversity, equity, and inclusion.","Washington adopted updated K–12 computer science standards based on the CSTA standards in 2018. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","SB 5187 (FY 2024 and 2025), SB 5092 (FY 2022 and 2023), HB 1109 (FY 2020 and 2021), SB 5883 (FY 2018 and 2019), and SB 6052 (FY 2016 and 2017) appropriated $1M annually for the computer science education grant program with a one-to-one private match requirement. HB 1109 exempted the match requirement for districts with greater than 50% of students eligible for free and reduced-price meals. Grants are intended to support innovative ways to engage students from historically underrepresented groups, including female students, low-income students, and students in underrepresented racial and ethnic groups.","In Washington, teachers with existing licensure can obtain a K–12 endorsement through passing the state content exam. Legislation was passed in 2021 to create two new specialty endorsements in computer science and allocated $63,000 to start this process. State funding for computer science can support credentialing for teachers. ",The Washington Office of Superintendent of Public Instruction has approved teacher preparation programs leading to certification in computer science. The Washington State Opportunity Scholarship also provided funding for Central Washington University and Western Washington University to develop a computer science endorsement program.,The Washington Office of the Superintendent of Public Instruction has a Computer Science Program Supervisor.,"SB 5088 (2019) required that each school district that operates a high school must provide access to an elective computer science course by the 2022–2023 school year. HB 1577 (2019) required each school district to report the number of computer science course offerings and demographics of the students enrolled in the courses, starting in June 2020. SB 5657 (2022) requires each school district operating an institutional education program for youth in state long-term juvenile institutions to provide an opportunity to access an elective computer science course.","In Washington, a computer science course that aligns to the state computer science learning standards can count as the third required mathematics credit or science credit for graduation.",AP Computer Science A can count as a mathematics credit required for admission at institutions of higher education in Washington.,
WI,Wisconsin,7176,1.7,1557,66,-5619,No,Yes,No,Yes,Yes,Yes,Other,No,Yes,No,No,,,,NA,80546,577999234,39720,4,17%,0.79%,2051,21%,118,29,11,1,159,128,26%,3,782,18%,41,8,2,0,16%,1269,23%,77,21,9,1,20%,61%,Other,www.code.org/promote/WI,Janesville School District,Marquette University,none,12,2397,239,107,4,0,23,21 ,16 ,45,13,8,1,0,58,6,5,31,34,20,1402000,8246,4106,4116,3919,2755,1560,591,711532,15445,,,,,,,"Wisconsin requires that all school districts offer instruction in computer science. However, the state could consider increasing access by requiring each school to offer at least one course.",,,,,Does not require all high schools to offer CS,,NA,NA,NA,NA,NA,Sean Roberts,sean@code.org,,"Wisconsin adopted K–12 computer science standards in 2017. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.",,"In Wisconsin, teachers with existing licensure can obtain a 4–12 supplementary license by passing the Praxis CS exam. An initial license in computer science requires completing a state-approved preparation program. ",The Wisconsin Department of Public Instruction has approved teacher preparation programs leading to certification in computer science and lists these programs publicly. ,The Wisconsin Department of Public Instruction hired a Computer Science and Digital Learning Innovation Consultant.,"Although Wisconsin does not yet require that all secondary schools offer computer science, state statute 118.01(2)(a)5 requires each school board to provide an instructional program designed to give students knowledge in computer science, including problem-solving, computer applications, and the social impact of computers.","In Wisconsin, computer science courses that meet the department's definition of computer science can count as a mathematics credit for graduation. ",,
WV,West Virginia,1045,3.1,215,78,-830,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,,NA,75109,78488399,30480,0,20%,0.73%,405,36%,14,7,3,0,24,46,38%,12,119,23%,5,1,1,0,16%,286,41%,9,6,2,0,32%,64%,Other,www.code.org/promote/WV,no school districts in the state,West Virginia University,none,10,630,133,97,0,0,17,27 ,20 ,44,5,1,1,0,81,2,3,14,41,39,212000,1075,834,303,455,446,371,97,189321,4467,,,,,,,,,,,,,,NA,NA,NA,NA,NA,Hannah Weissman,hannah.weissman@code.org,The West Virginia Department of Education approved a state plan for expanding Computer Science in October 2019.,West Virginia adopted K–12 computer science standards in 2019.,"With the publication of the West Virginia Computer Science Plan in October 2019, the state also allocated yearly funding for professional development for teachers as recommended by SB 267 (2019).","In West Virginia, teachers with existing licensure can obtain course-specific authorizations for Introduction to Computer Science, Computer Science Discoveries, and/or Computer Science Fundamentals by completing specified professional development. ",,The West Virginia Department of Education has a Computer Science Supervisor.,"SB 267/HB 2415 (2019) required the West Virginia State Board of Education to adopt a policy detailing the appropriate level of computer science instruction that shall be available to students at each programmatic level prior to the 2020–2021 school year. Policy 2510, revised in 2015, required all high schools to offer a computer science course.","In West Virginia, an AP computer science course can count as the fourth mathematics credit or a science credit for graduation.",,
WY,Wyoming,863,3.2,44,55,-819,Yes,Yes,Other,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,,NA,65367,56411630,47980,0,14%,0.21%,97,36%,4,0,2,0,6,11,27%,0,22,23%,0,0,1,0,15%,75,40%,4,0,1,0,22%,0,No,www.code.org/promote/WY,no school districts in the state,University of Wyoming,none,4,860,75,41,0,0,29,32 ,25 ,45,5,9,3,0,68,3,4,25,79,17,109000,376,177,186,130,85,80,6,144163,2830,,,Wyoming encourages the use of state funds for computer science or computer science professional development. Wyoming has an opportunity to expand computer science by designating state funds for computer science. ,,,,,,,,Encourages the use of state funds for CS PD but no dedicated funding,,,NA,NA,NA,NA,NA,Anthony Owen,anthony.owen@code.org,The Wyoming Department of Education created a task force in 2017 to develop and implement a long-term plan for expanding computer science.,"Wyoming adopted K–12 computer science standards in February 2020. Standards within each grade band address concepts of equity, such as bias, accessible technology, and inclusivity.","Although Wyoming does not yet provide dedicated state funding, the Wyoming Trust Fund for Innovative Education prioritized computer science applications in 2018–2021.","In Wyoming, teachers with existing licensure can obtain a K–12 endorsement by completing a program that leads to licensure or a combination of coursework and passing the Praxis CS exam. Another pathway requires coursework and work experience. Teachers can teach out of field for up to two years and can earn the CS endorsement by passing the Praxis CS exam within those two years. ",,The Wyoming Department of Education has a Math and Computer Science Consultant.,SF 29 (2018) required all schools to include computer science and computational thinking by the 2022–2023 school year.,"In Wyoming, computer science courses aligned with the standards can count as a science credit for graduation.","Computer science can count as one year of science, fourth year mathematics (for state scholarship), or career credits required for admission at institutions of higher education, which aligns with the high school graduation policy. ",
