Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.62,0.51,0.17,1.34,0.53,0.28,0.41,12
F,0.62,0.51,0.16,1.37,0.63,0.28,0.37,11
M,0.62,0.50,0.17,1.31,0.64,0.25,0.32,9
F,0.63,0.49,0.16,1.21,0.47,0.16,0.41,11
F,0.63,0.49,0.20,1.38,0.59,0.29,0.38,11
M,0.63,0.51,0.17,1.26,0.45,0.28,0.41,14
M,0.64,0.51,0.17,1.36,0.62,0.31,0.39,9
F,0.64,0.50,0.15,1.38,0.65,0.36,0.31,10
F,0.64,0.49,0.17,1.29,0.67,0.26,0.27,9
F,0.64,0.51,0.17,1.49,0.76,0.33,0.32,8
M,0.65,0.53,0.18,1.47,0.68,0.32,0.40,11
M,0.66,0.52,0.17,1.41,0.59,0.29,0.41,9
M,0.66,0.58,0.21,2.08,0.96,0.34,0.60,17
M,0.66,0.53,0.17,1.39,0.59,0.21,0.45,15
M,0.66,0.52,0.19,1.56,0.76,0.30,0.40,10
F,0.67,0.59,0.16,1.31,0.54,0.29,0.41,10
F,0.68,0.53,0.17,1.81,0.78,0.39,0.46,12
F,0.68,0.53,0.16,1.48,0.63,0.34,0.42,9
F,0.68,0.56,0.20,1.78,0.86,0.32,0.42,11
F,0.69,0.54,0.16,1.67,0.83,0.38,0.48,11
F,0.70,0.56,0.22,1.83,0.85,0.42,0.46,11
M,0.73,0.60,0.23,2.83,1.15,0.42,0.90,17
I,0.21,0.14,0.05,0.05,0.02,0.01,0.01,6
I,0.24,0.18,0.06,0.07,0.03,0.01,0.02,5
I,0.24,0.18,0.07,0.07,0.03,0.01,0.02,3
I,0.26,0.19,0.05,0.08,0.03,0.02,0.03,6
I,0.26,0.18,0.06,0.08,0.03,0.02,0.02,4
I,0.27,0.20,0.06,0.09,0.03,0.03,0.02,6
I,0.28,0.12,0.08,0.12,0.05,0.03,0.03,4
I,0.30,0.23,0.08,0.16,0.07,0.05,0.04,5
I,0.30,0.24,0.08,0.13,0.05,0.03,0.04,4
I,0.30,0.23,0.10,0.14,0.06,0.04,0.04,6
I,0.31,0.22,0.07,0.14,0.06,0.03,0.04,5
I,0.32,0.24,0.08,0.15,0.06,0.04,0.04,6
I,0.32,0.23,0.07,0.14,0.05,0.03,0.04,8
I,0.32,0.24,0.09,0.16,0.07,0.03,0.04,5
I,0.33,0.24,0.08,0.19,0.08,0.04,0.05,6
I,0.33,0.27,0.09,0.20,0.08,0.03,0.04,6
I,0.34,0.25,0.08,0.18,0.07,0.04,0.06,7
I,0.34,0.25,0.08,0.19,0.09,0.04,0.04,7
I,0.34,0.25,0.08,0.18,0.07,0.05,0.05,5
I,0.34,0.25,0.07,0.22,0.10,0.04,0.06,7
I,0.35,0.27,0.10,0.25,0.11,0.05,0.07,7
I,0.37,0.29,0.10,0.25,0.10,0.06,0.07,6
I,0.37,0.28,0.10,0.29,0.15,0.07,0.08,7
I,0.38,0.28,0.09,0.22,0.08,0.06,0.06,6
I,0.39,0.27,0.08,0.25,0.12,0.04,0.07,6
I,0.41,0.31,0.09,0.34,0.16,0.07,0.09,7
I,0.41,0.31,0.09,0.35,0.16,0.07,0.10,7
I,0.41,0.31,0.09,0.33,0.16,0.06,0.09,6
I,0.42,0.33,0.09,0.36,0.17,0.08,0.09,6
I,0.42,0.32,0.12,0.38,0.17,0.09,0.10,5
I,0.42,0.32,0.10,0.34,0.16,0.08,0.09,6
I,0.43,0.34,0.10,0.38,0.16,0.10,0.10,6
I,0.43,0.32,0.10,0.38,0.16,0.07,0.11,6
I,0.43,0.33,0.10,0.36,0.16,0.08,0.11,7
I,0.43,0.33,0.09,0.43,0.22,0.09,0.10,7
I,0.44,0.33,0.12,0.40,0.18,0.06,0.11,8
I,0.44,0.34,0.12,0.39,0.18,0.08,0.11,6
I,0.44,0.35,0.13,0.45,0.21,0.08,0.13,6
I,0.44,0.33,0.09,0.35,0.15,0.07,0.11,7
F,0.45,0.34,0.11,0.44,0.20,0.11,0.12,6
I,0.45,0.35,0.13,0.42,0.17,0.09,0.12,7
I,0.45,0.36,0.13,0.48,0.19,0.13,0.14,7
I,0.45,0.36,0.11,0.44,0.20,0.09,0.13,8
I,0.45,0.35,0.11,0.47,0.24,0.09,0.11,7
I,0.45,0.34,0.11,0.45,0.23,0.15,0.12,7
I,0.46,0.36,0.13,0.53,0.23,0.13,0.15,7
I,0.46,0.38,0.12,0.50,0.24,0.11,0.13,6
I,0.46,0.36,0.10,0.46,0.23,0.09,0.12,7
I,0.46,0.35,0.11,0.45,0.20,0.09,0.13,7
I,0.47,0.37,0.12,0.47,0.23,0.09,0.11,7
I,0.47,0.37,0.12,0.53,0.26,0.10,0.14,7
I,0.47,0.35,0.11,0.44,0.18,0.09,0.12,7
F,0.47,0.35,0.13,0.48,0.23,0.11,0.11,6
M,0.47,0.37,0.12,0.61,0.33,0.15,0.14,8
F,0.47,0.37,0.12,0.58,0.29,0.09,0.15,8
M,0.48,0.37,0.13,0.54,0.22,0.12,0.15,9
F,0.48,0.36,0.12,0.59,0.32,0.11,0.13,6
M,0.48,0.38,0.12,0.68,0.32,0.11,0.17,6
M,0.48,0.39,0.15,0.64,0.29,0.14,0.16,6
M,0.48,0.36,0.10,0.44,0.19,0.10,0.12,8
M,0.48,0.37,0.12,0.60,0.31,0.12,0.14,7
F,0.49,0.37,0.12,0.48,0.20,0.10,0.13,7
M,0.49,0.39,0.13,0.65,0.32,0.12,0.17,8
M,0.50,0.40,0.14,0.63,0.30,0.13,0.15,8
M,0.50,0.40,0.14,0.61,0.27,0.14,0.14,7
M,0.50,0.39,0.14,0.66,0.31,0.15,0.16,6
I,0.50,0.39,0.12,0.56,0.28,0.10,0.14,8
M,0.50,0.39,0.14,0.64,0.32,0.13,0.15,7
M,0.50,0.40,0.13,0.67,0.34,0.12,0.18,7
F,0.51,0.39,0.13,0.67,0.32,0.14,0.18,9
I,0.51,0.39,0.15,0.69,0.36,0.13,0.16,8
M,0.51,0.41,0.13,0.64,0.29,0.13,0.16,9
I,0.51,0.36,0.13,0.60,0.25,0.12,0.19,8
M,0.51,0.39,0.14,0.77,0.39,0.15,0.19,8
I,0.51,0.38,0.10,0.58,0.24,0.12,0.18,7
I,0.51,0.41,0.14,0.77,0.37,0.16,0.18,7
M,0.51,0.41,0.15,0.70,0.35,0.13,0.19,8
M,0.51,0.41,0.15,0.80,0.39,0.18,0.20,8
F,0.52,0.43,0.14,0.83,0.37,0.20,0.23,8
M,0.52,0.39,0.16,0.71,0.37,0.14,0.16,7
F,0.53,0.42,0.14,0.72,0.35,0.17,0.18,8
M,0.53,0.40,0.14,0.73,0.33,0.16,0.17,11
F,0.53,0.43,0.13,0.76,0.33,0.20,0.21,8
F,0.53,0.43,0.15,0.85,0.33,0.23,0.20,8
M,0.53,0.41,0.13,0.65,0.27,0.16,0.19,7
F,0.54,0.40,0.14,0.82,0.39,0.20,0.21,8
M,0.54,0.43,0.14,0.72,0.29,0.16,0.22,8
M,0.54,0.44,0.14,0.87,0.37,0.23,0.22,8
F,0.55,0.45,0.16,0.99,0.54,0.18,0.22,9
F,0.55,0.43,0.14,0.81,0.37,0.16,0.28,9
F,0.56,0.46,0.16,0.97,0.45,0.21,0.27,9
F,0.57,0.40,0.13,0.70,0.31,0.17,0.18,8
M,0.57,0.45,0.16,1.20,0.56,0.26,0.30,10
M,0.57,0.45,0.16,1.19,0.51,0.21,0.34,10
F,0.57,0.46,0.15,1.11,0.54,0.26,0.27,8
M,0.57,0.45,0.14,1.06,0.53,0.22,0.24,8
M,0.57,0.46,0.17,0.90,0.41,0.19,0.21,7
M,0.58,0.48,0.16,1.11,0.50,0.27,0.29,9
F,0.58,0.46,0.16,1.10,0.54,0.22,0.25,9
F,0.58,0.46,0.15,1.12,0.56,0.23,0.29,7
F,0.58,0.46,0.18,1.05,0.41,0.26,0.28,8
M,0.58,0.46,0.15,1.01,0.50,0.21,0.28,10
F,0.58,0.45,0.15,1.14,0.56,0.22,0.29,8
M,0.58,0.49,0.13,1.13,0.59,0.26,0.24,9
M,0.59,0.47,0.16,1.14,0.52,0.26,0.28,11
M,0.59,0.47,0.16,1.21,0.48,0.24,0.31,8
F,0.59,0.46,0.15,1.06,0.52,0.24,0.25,8
F,0.60,0.47,0.16,1.12,0.45,0.18,0.16,11
F,0.60,0.45,0.15,1.11,0.59,0.22,0.25,11
M,0.60,0.48,0.17,1.21,0.62,0.24,0.27,9
F,0.60,0.46,0.14,1.00,0.47,0.21,0.25,9
M,0.60,0.46,0.15,1.04,0.52,0.22,0.27,9
F,0.61,0.49,0.15,1.13,0.53,0.26,0.30,9
M,0.61,0.48,0.16,1.16,0.57,0.25,0.28,9
M,0.61,0.47,0.17,1.23,0.60,0.26,0.29,11
M,0.61,0.47,0.15,1.16,0.57,0.26,0.31,11
M,0.61,0.48,0.16,1.17,0.55,0.24,0.33,10
F,0.62,0.48,0.16,1.25,0.59,0.26,0.33,8
F,0.62,0.51,0.18,1.33,0.59,0.28,0.39,11
F,0.63,0.48,0.17,1.35,0.62,0.28,0.37,10
M,0.63,0.49,0.18,1.33,0.57,0.27,0.41,10
F,0.63,0.48,0.18,1.14,0.48,0.25,0.35,10
F,0.63,0.50,0.17,1.29,0.57,0.30,0.32,9
F,0.63,0.49,0.20,1.38,0.58,0.30,0.40,9
M,0.63,0.49,0.16,1.28,0.64,0.28,0.31,8
F,0.63,0.50,0.17,1.31,0.60,0.28,0.32,11
M,0.63,0.48,0.15,1.18,0.52,0.25,0.32,8
M,0.64,0.49,0.18,1.38,0.62,0.27,0.40,11
M,0.64,0.53,0.19,1.41,0.68,0.30,0.37,10
M,0.64,0.51,0.16,1.40,0.71,0.27,0.34,10
F,0.64,0.50,0.17,1.52,0.69,0.33,0.41,11
F,0.64,0.50,0.18,1.39,0.49,0.29,0.40,10
F,0.65,0.50,0.16,1.22,0.61,0.24,0.32,10
M,0.65,0.52,0.18,1.64,0.78,0.34,0.43,11
M,0.65,0.52,0.18,1.56,0.71,0.36,0.40,8
F,0.65,0.51,0.17,1.43,0.68,0.31,0.34,8
M,0.65,0.50,0.18,1.34,0.63,0.30,0.35,11
F,0.65,0.50,0.16,1.25,0.55,0.33,0.30,10
F,0.65,0.52,0.15,1.21,0.52,0.21,0.39,10
M,0.65,0.50,0.16,1.30,0.57,0.31,0.37,9
M,0.65,0.52,0.21,1.68,0.67,0.31,0.46,11
M,0.65,0.53,0.19,1.62,0.66,0.32,0.48,10
F,0.66,0.46,0.16,1.49,0.69,0.33,0.18,9
F,0.66,0.51,0.18,1.65,0.85,0.34,0.40,10
F,0.66,0.51,0.19,1.53,0.69,0.30,0.44,11
M,0.66,0.54,0.19,1.59,0.64,0.30,0.52,9
M,0.66,0.50,0.20,1.63,0.59,0.36,0.49,10
F,0.66,0.48,0.18,1.37,0.64,0.29,0.34,6
M,0.67,0.53,0.17,1.61,0.68,0.31,0.40,11
F,0.68,0.57,0.23,1.59,0.74,0.30,0.44,10
F,0.68,0.57,0.20,1.84,0.76,0.36,0.55,12
M,0.68,0.54,0.19,1.61,0.72,0.32,0.50,12
M,0.69,0.53,0.18,1.70,0.83,0.36,0.41,8
M,0.69,0.51,0.20,1.87,0.89,0.40,0.48,10
F,0.70,0.54,0.18,1.84,0.80,0.40,0.50,10
F,0.71,0.54,0.18,1.69,0.69,0.42,0.40,12
M,0.71,0.57,0.21,2.20,1.01,0.52,0.55,11
M,0.72,0.57,0.18,1.95,0.76,0.42,0.41,10
F,0.72,0.53,0.19,1.56,0.67,0.38,0.41,11
F,0.74,0.60,0.22,2.56,1.13,0.44,0.60,11
M,0.77,0.60,0.22,2.30,1.01,0.51,0.62,12
I,0.19,0.13,0.05,0.03,0.01,0.01,0.01,4
I,0.20,0.15,0.05,0.04,0.02,0.01,0.01,3
I,0.20,0.14,0.04,0.03,0.01,0.01,0.01,4
I,0.20,0.16,0.04,0.04,0.02,0.01,0.01,4
I,0.23,0.17,0.06,0.06,0.03,0.01,0.02,4
I,0.25,0.18,0.07,0.07,0.03,0.01,0.02,4
I,0.25,0.18,0.07,0.07,0.02,0.02,0.02,5
I,0.27,0.20,0.06,0.08,0.04,0.02,0.03,7
I,0.28,0.20,0.07,0.11,0.05,0.02,0.03,6
I,0.28,0.21,0.09,0.11,0.04,0.02,0.03,5
I,0.29,0.22,0.07,0.10,0.04,0.02,0.03,5
I,0.30,0.22,0.08,0.13,0.06,0.03,0.04,6
I,0.32,0.24,0.06,0.15,0.07,0.03,0.04,6
I,0.32,0.23,0.09,0.14,0.07,0.03,0.04,6
I,0.34,0.27,0.08,0.20,0.09,0.05,0.06,5
I,0.37,0.28,0.10,0.22,0.12,0.03,0.06,6
I,0.38,0.28,0.08,0.23,0.11,0.05,0.07,6
I,0.38,0.28,0.10,0.23,0.12,0.04,0.07,6
I,0.39,0.29,0.08,0.25,0.12,0.05,0.07,7
I,0.40,0.32,0.10,0.35,0.19,0.05,0.09,6
I,0.41,0.30,0.11,0.32,0.17,0.04,0.09,7
I,0.41,0.30,0.10,0.28,0.13,0.06,0.09,7
I,0.41,0.33,0.10,0.32,0.13,0.07,0.11,6
I,0.42,0.30,0.11,0.32,0.13,0.07,0.10,7
I,0.42,0.32,0.11,0.36,0.17,0.06,0.11,7
I,0.42,0.31,0.10,0.28,0.13,0.05,0.09,6
I,0.43,0.33,0.12,0.37,0.16,0.09,0.10,7
M,0.43,0.34,0.12,0.40,0.20,0.09,0.10,7
I,0.44,0.33,0.11,0.41,0.21,0.10,0.10,6
I,0.44,0.35,0.12,0.42,0.22,0.07,0.11,7
I,0.44,0.33,0.11,0.37,0.15,0.08,0.12,7
I,0.45,0.35,0.11,0.41,0.17,0.10,0.12,7
I,0.45,0.34,0.15,0.43,0.19,0.09,0.13,7
I,0.45,0.34,0.11,0.41,0.20,0.09,0.11,8
I,0.45,0.37,0.13,0.46,0.21,0.10,0.13,8
I,0.45,0.34,0.12,0.49,0.24,0.11,0.12,6
I,0.45,0.33,0.11,0.37,0.19,0.08,0.10,7
I,0.45,0.33,0.10,0.41,0.19,0.10,0.10,6
I,0.45,0.33,0.11,0.37,0.16,0.09,0.10,6
I,0.46,0.35,0.12,0.42,0.18,0.10,0.12,7
M,0.47,0.36,0.11,0.54,0.27,0.14,0.13,7
I,0.47,0.38,0.13,0.48,0.21,0.11,0.14,6
I,0.48,0.35,0.11,0.46,0.21,0.10,0.13,6
I,0.48,0.35,0.10,0.45,0.22,0.11,0.12,7
I,0.48,0.38,0.13,0.62,0.34,0.11,0.17,8
M,0.49,0.47,0.13,0.52,0.24,0.13,0.14,7
I,0.50,0.38,0.14,0.55,0.25,0.11,0.16,7
I,0.50,0.38,0.12,0.54,0.22,0.12,0.17,9
I,0.50,0.38,0.13,0.52,0.25,0.11,0.13,8
M,0.50,0.39,0.13,0.52,0.25,0.12,0.13,6
F,0.51,0.39,0.13,0.54,0.25,0.15,0.14,7
I,0.51,0.41,0.13,0.68,0.35,0.14,0.18,8
F,0.51,0.40,0.13,0.55,0.26,0.12,0.14,6
I,0.51,0.40,0.13,0.56,0.26,0.12,0.15,9
I,0.51,0.38,0.12,0.52,0.22,0.11,0.17,8
I,0.52,0.39,0.13,0.61,0.32,0.13,0.15,8
M,0.52,0.40,0.15,0.78,0.35,0.18,0.19,9
I,0.52,0.38,0.14,0.54,0.23,0.13,0.16,8
I,0.52,0.38,0.13,0.55,0.29,0.13,0.17,8
F,0.52,0.46,0.15,1.02,0.52,0.20,0.25,7
I,0.53,0.40,0.13,0.65,0.33,0.12,0.17,8
I,0.53,0.40,0.14,0.60,0.26,0.13,0.18,9
M,0.53,0.41,0.12,0.76,0.38,0.16,0.20,9
I,0.53,0.40,0.12,0.61,0.30,0.14,0.14,8
I,0.53,0.40,0.13,0.62,0.28,0.13,0.19,8
I,0.54,0.39,0.13,0.60,0.26,0.15,0.17,9
I,0.54,0.42,0.14,0.67,0.31,0.14,0.19,10
M,0.55,0.39,0.14,0.78,0.42,0.18,0.16,7
M,0.55,0.41,0.12,0.79,0.43,0.14,0.19,9
M,0.55,0.42,0.14,0.82,0.46,0.13,0.22,9
F,0.55,0.42,0.14,0.81,0.43,0.19,0.18,8
F,0.55,0.43,0.15,0.84,0.40,0.20,0.22,8
M,0.55,0.43,0.15,0.83,0.41,0.18,0.22,10
M,0.56,0.43,0.15,0.90,0.46,0.18,0.23,9
M,0.56,0.45,0.16,0.90,0.42,0.22,0.22,8
F,0.56,0.44,0.16,0.64,0.34,0.18,0.25,8
M,0.56,0.42,0.15,0.85,0.43,0.19,0.21,8
M,0.57,0.46,0.15,0.96,0.46,0.24,0.23,9
M,0.57,0.44,0.15,0.99,0.58,0.18,0.21,8
F,0.57,0.45,0.18,1.01,0.45,0.24,0.26,9
M,0.57,0.46,0.15,1.04,0.54,0.20,0.25,9
F,0.57,0.45,0.15,0.88,0.41,0.22,0.22,8
I,0.57,0.44,0.15,0.76,0.34,0.16,0.22,8
F,0.58,0.46,0.15,0.99,0.47,0.23,0.27,7
F,0.58,0.45,0.16,1.07,0.56,0.21,0.26,10
M,0.58,0.44,0.14,0.85,0.40,0.19,0.22,9
F,0.58,0.47,0.17,0.87,0.44,0.20,0.24,9
M,0.58,0.46,0.14,0.91,0.42,0.20,0.26,9
I,0.58,0.44,0.13,0.81,0.32,0.22,0.25,10
M,0.58,0.45,0.17,1.02,0.55,0.22,0.23,9
M,0.58,0.45,0.15,0.85,0.42,0.19,0.22,9
M,0.58,0.46,0.15,1.11,0.48,0.22,0.27,8
M,0.58,0.46,0.20,1.86,0.95,0.43,0.44,9
M,0.58,0.45,0.14,0.81,0.38,0.19,0.22,9
M,0.58,0.45,0.14,0.96,0.49,0.18,0.25,9
M,0.58,0.45,0.15,1.00,0.55,0.20,0.23,8
F,0.58,0.45,0.16,0.93,0.39,0.25,0.27,9
M,0.59,0.46,0.15,0.93,0.48,0.18,0.24,9
M,0.59,0.47,0.16,0.96,0.46,0.24,0.27,7
M,0.59,0.47,0.15,1.00,0.48,0.23,0.24,8
F,0.60,0.48,0.16,1.03,0.49,0.25,0.26,9
M,0.60,0.46,0.17,1.19,0.70,0.24,0.24,8
F,0.60,0.47,0.15,1.10,0.55,0.26,0.25,8
M,0.60,0.47,0.16,1.02,0.51,0.25,0.23,10
F,0.61,0.47,0.17,1.18,0.61,0.23,0.29,9
M,0.61,0.48,0.14,1.12,0.56,0.26,0.27,9
M,0.61,0.48,0.17,1.18,0.58,0.24,0.32,10
F,0.61,0.48,0.17,1.06,0.43,0.22,0.36,9
M,0.61,0.49,0.16,1.01,0.53,0.21,0.24,8
M,0.61,0.49,0.15,1.33,0.78,0.23,0.29,9
M,0.61,0.47,0.17,1.05,0.50,0.24,0.27,9
M,0.62,0.46,0.17,1.06,0.48,0.27,0.27,10
F,0.62,0.47,0.15,0.92,0.46,0.18,0.24,9
F,0.62,0.48,0.16,1.03,0.45,0.25,0.29,9
M,0.62,0.47,0.14,1.02,0.53,0.20,0.25,8
M,0.62,0.45,0.20,0.86,0.43,0.15,0.24,8
F,0.62,0.48,0.16,1.11,0.56,0.24,0.28,8
F,0.63,0.49,0.18,1.37,0.73,0.27,0.33,9
M,0.63,0.48,0.19,1.21,0.59,0.29,0.29,8
M,0.63,0.47,0.16,1.13,0.59,0.21,0.29,8
M,0.63,0.50,0.18,1.26,0.56,0.31,0.34,10
F,0.64,0.50,0.02,1.16,0.51,0.31,0.29,9
M,0.64,0.52,0.17,1.37,0.63,0.34,0.36,10
M,0.65,0.53,0.20,1.39,0.65,0.29,0.37,10
F,0.65,0.48,0.17,1.13,0.53,0.25,0.31,10
F,0.65,0.50,0.19,1.46,0.64,0.34,0.42,9
M,0.65,0.50,0.16,1.20,0.57,0.31,0.29,11
M,0.66,0.52,0.16,1.31,0.55,0.37,0.35,11
F,0.66,0.51,0.18,1.42,0.59,0.37,0.36,10
F,0.66,0.53,0.19,1.35,0.55,0.27,0.48,11
M,0.67,0.53,0.16,1.36,0.63,0.28,0.34,8
I,0.67,0.50,0.17,1.30,0.60,0.29,0.36,9
F,0.67,0.51,0.21,1.36,0.61,0.30,0.35,9
F,0.69,0.54,0.22,1.70,0.66,0.37,0.47,14
M,0.69,0.52,0.17,1.52,0.70,0.37,0.40,10
F,0.69,0.54,0.16,1.45,0.62,0.31,0.39,9
M,0.69,0.53,0.21,1.58,0.74,0.41,0.39,12
F,0.69,0.53,0.17,1.55,0.79,0.35,0.37,9
M,0.70,0.56,0.19,1.74,0.89,0.37,0.44,10
M,0.70,0.57,0.18,1.75,0.90,0.34,0.45,9
M,0.70,0.58,0.19,2.27,1.10,0.42,0.64,12
F,0.70,0.53,0.19,1.65,0.85,0.31,0.40,9
F,0.71,0.55,0.17,1.22,0.64,0.24,0.30,9
F,0.71,0.56,0.18,1.65,0.74,0.38,0.45,11
M,0.72,0.55,0.19,2.00,1.05,0.41,0.51,12
M,0.72,0.54,0.19,1.68,0.89,0.31,0.42,10
F,0.72,0.58,0.20,2.10,1.03,0.48,0.54,10
F,0.72,0.55,0.20,2.00,0.90,0.47,0.52,10
M,0.72,0.57,0.15,1.19,0.69,0.19,0.27,8
M,0.73,0.51,0.19,1.98,1.03,0.43,0.45,12
F,0.73,0.58,0.19,1.88,0.93,0.38,0.48,12
M,0.74,0.59,0.19,2.12,0.95,0.55,0.50,11
M,0.75,0.57,0.22,1.93,0.90,0.46,0.50,11
F,0.75,0.57,0.21,2.24,1.11,0.52,0.55,11
F,0.76,0.63,0.21,2.51,1.20,0.51,0.68,11
M,0.76,0.58,0.21,2.01,0.83,0.40,0.60,10
F,0.78,0.63,0.22,2.66,1.49,0.50,0.59,11
I,0.19,0.38,0.12,0.46,0.20,0.10,0.15,6
I,0.25,0.21,0.06,0.08,0.03,0.01,0.02,4
I,0.25,0.19,0.07,0.07,0.03,0.01,0.02,5
I,0.25,0.19,0.07,0.08,0.04,0.02,0.03,5
I,0.28,0.20,0.09,0.11,0.05,0.03,0.04,6
I,0.31,0.22,0.07,0.11,0.04,0.02,0.04,5
I,0.31,0.23,0.07,0.11,0.44,0.02,0.04,5
I,0.32,0.23,0.08,0.14,0.05,0.03,0.04,5
I,0.32,0.23,0.07,0.11,0.05,0.02,0.04,5
I,0.33,0.23,0.08,0.14,0.06,0.03,0.09,6
I,0.33,0.25,0.10,0.21,0.10,0.04,0.05,7
I,0.33,0.21,0.10,0.16,0.08,0.03,0.04,5
I,0.34,0.25,0.09,0.20,0.10,0.04,0.05,7
I,0.34,0.25,0.09,0.18,0.08,0.03,0.06,6
I,0.35,0.26,0.10,0.19,0.09,0.04,0.06,6
I,0.35,0.26,0.09,0.20,0.11,0.04,0.05,5
I,0.35,0.27,0.08,0.22,0.10,0.04,0.07,6
I,0.35,0.26,0.09,0.18,0.09,0.03,0.05,8
I,0.36,0.27,0.09,0.20,0.09,0.04,0.06,4
I,0.37,0.27,0.09,0.19,0.08,0.04,0.06,6
I,0.37,0.27,0.09,0.20,0.08,0.04,0.06,7
I,0.37,0.27,0.09,0.21,0.09,0.05,0.06,7
I,0.37,0.29,0.09,0.24,0.09,0.07,0.08,7
I,0.37,0.28,0.09,0.22,0.11,0.04,0.06,6
I,0.38,0.29,0.10,0.21,0.10,0.04,0.06,5
I,0.38,0.29,0.09,0.24,0.12,0.05,0.07,7
I,0.38,0.28,0.09,0.22,0.09,0.04,0.08,6
I,0.38,0.28,0.10,0.25,0.11,0.04,0.08,6
I,0.38,0.28,0.08,0.20,0.08,0.05,0.07,8
I,0.38,0.27,0.09,0.22,0.09,0.04,0.07,7
I,0.38,0.28,0.11,0.26,0.11,0.05,0.08,6
I,0.38,0.27,0.08,0.21,0.09,0.04,0.07,8
I,0.39,0.29,0.09,0.26,0.11,0.06,0.07,9
I,0.39,0.28,0.09,0.22,0.10,0.04,0.07,8
I,0.39,0.30,0.10,0.30,0.15,0.06,0.07,7
I,0.39,0.28,0.09,0.23,0.10,0.04,0.07,5
I,0.39,0.30,0.10,0.33,0.17,0.06,0.09,7
I,0.40,0.31,0.11,0.28,0.11,0.06,0.09,8
I,0.40,0.30,0.10,0.27,0.12,0.06,0.09,8
I,0.40,0.27,0.10,0.30,0.14,0.06,0.08,5
I,0.40,0.29,0.10,0.27,0.12,0.06,0.08,5
I,0.41,0.29,0.09,0.26,0.13,0.05,0.08,6
I,0.41,0.34,0.11,0.33,0.16,0.07,0.17,7
I,0.42,0.31,0.09,0.33,0.17,0.06,0.08,6
I,0.43,0.33,0.11,0.33,0.17,0.05,0.10,7
I,0.43,0.32,0.10,0.31,0.13,0.06,0.11,7
I,0.43,0.31,0.09,0.30,0.14,0.07,0.08,7
I,0.43,0.34,0.00,0.43,0.21,0.09,0.12,8
I,0.43,0.32,0.10,0.38,0.18,0.08,0.10,8
I,0.44,0.32,0.11,0.37,0.16,0.07,0.12,7
I,0.44,0.34,0.12,0.44,0.21,0.08,0.12,9
I,0.45,0.33,0.11,0.45,0.21,0.09,0.12,9
I,0.46,0.35,0.11,0.40,0.16,0.08,0.13,8
F,0.46,0.37,0.12,0.43,0.18,0.11,0.12,8
I,0.46,0.33,0.10,0.37,0.36,0.08,0.11,8
I,0.46,0.36,0.11,0.47,0.22,0.10,0.11,7
I,0.46,0.35,0.11,0.37,0.16,0.08,0.11,9
F,0.46,0.37,0.13,0.48,0.21,0.10,0.14,8
I,0.47,0.34,0.11,0.35,0.14,0.07,0.11,11
I,0.47,0.37,0.10,0.41,0.18,0.09,0.14,8
I,0.47,0.36,0.18,0.48,0.21,0.11,0.15,8
I,0.47,0.36,0.12,0.39,0.17,0.09,0.12,8
I,0.48,0.36,0.10,0.50,0.25,0.09,0.14,8
I,0.48,0.38,0.12,0.44,0.18,0.09,0.15,8
I,0.48,0.36,0.11,0.49,0.21,0.11,0.15,8
I,0.48,0.37,0.13,0.54,0.24,0.10,0.17,9
I,0.48,0.36,0.12,0.47,0.21,0.11,0.13,8
I,0.48,0.37,0.10,0.46,0.22,0.08,0.14,8
I,0.50,0.36,0.12,0.50,0.21,0.10,0.15,8
I,0.50,0.38,0.13,0.51,0.22,0.12,0.16,7
M,0.50,0.40,0.12,0.55,0.22,0.14,0.17,8
I,0.50,0.38,0.14,0.59,0.29,0.10,0.16,9
M,0.50,0.42,0.14,0.68,0.30,0.14,0.21,9
I,0.50,0.38,0.15,0.58,0.24,0.14,0.19,9
I,0.50,0.41,0.14,0.66,0.26,0.16,0.20,9
I,0.50,0.38,0.13,0.57,0.26,0.12,0.16,7
I,0.50,0.40,0.14,0.62,0.29,0.12,0.20,9
I,0.51,0.41,0.13,0.60,0.30,0.11,0.18,8
I,0.51,0.38,0.12,0.59,0.26,0.14,0.18,7
I,0.51,0.40,0.11,0.55,0.25,0.10,0.17,8
I,0.52,0.38,0.12,0.63,0.33,0.13,0.16,7
I,0.52,0.42,0.14,0.71,0.34,0.14,0.21,13
I,0.52,0.40,0.14,0.70,0.32,0.13,0.18,9
I,0.52,0.40,0.13,0.58,0.23,0.14,0.18,10
I,0.52,0.40,0.13,0.66,0.30,0.13,0.19,9
I,0.53,0.40,0.13,0.70,0.37,0.14,0.16,9
M,0.53,0.42,0.16,0.84,0.43,0.14,0.20,9
I,0.53,0.42,0.13,0.69,0.39,0.11,0.17,9
I,0.53,0.42,0.16,0.81,0.47,0.11,0.19,10
I,0.53,0.42,0.11,0.57,0.25,0.12,0.19,9
I,0.53,0.43,0.13,0.77,0.42,0.12,0.21,9
I,0.54,0.40,0.14,0.60,0.29,0.12,0.15,9
I,0.54,0.42,0.15,0.58,0.36,0.14,0.23,8
F,0.54,0.41,0.13,0.71,0.34,0.14,0.21,9
M,0.54,0.44,0.15,0.72,0.35,0.14,0.19,9
F,0.54,0.42,0.15,0.87,0.43,0.16,0.22,10
