Party,Handicapped Infants Protection Act,Water Project Cost Sharing,Adoption Of The Budget Resolution,Physician Fee Freeze,Aid to El Salvador,Allow Religious Meetings In Schools, Ban Testing of Anti-Satellite Weapons,Aid To Nicaraguan Contras,Authorize MX Missile System,Immigration Reform Act,Cut Funding for Synfuels,Education Spending,Superfund Right To Sue Bill,Crime Bill,Duty Free Exports,Extend Export Controls to South Africa
Republican,Unknown,Unknown,Unknown,Unknown,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Unknown
Democrat,Yea,Yea,Unknown,Unknown,Unknown,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea
Democrat,Yea,Yea,Yea,Unknown,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Unknown,Nay,Nay,Yea,Yea
Democrat,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea
Democrat,Yea,Yea,Nay,Nay,Yea,Unknown,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea
Democrat,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Unknown,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Unknown,Nay,Nay,Unknown,Unknown,Unknown,Yea,Nay,Unknown
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay
Republican,Unknown,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Unknown,Yea,Nay,Nay
Republican,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea
Democrat,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay
Democrat,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Unknown,Yea,Yea,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea
Democrat,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Unknown,Unknown,Unknown,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Democrat,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Unknown,Yea,Nay,Nay,Nay,Nay,Nay,Yea
Republican,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea
Democrat,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea
Republican,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea
Democrat,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea
Democrat,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea
Democrat,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea
Democrat,Nay,Yea,Yea,Nay,Nay,Unknown,Yea,Yea,Yea,Yea,Yea,Nay,Unknown,Yea,Yea,Yea
Democrat,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Unknown
Democrat,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Unknown,Unknown,Unknown,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea
Democrat,Yea,Nay,Yea,Nay,Unknown,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Unknown,Yea,Yea
Republican,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea
Democrat,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea
Republican,Nay,Unknown,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Nay,Nay,Yea,Yea,Yea,Unknown,Unknown,Unknown,Unknown,Nay,Yea,Yea,Yea,Nay,Yea
Republican,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Unknown,Nay
