Month,DayofMonth,DayOfWeek,DepTime,TimeOfDay,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
September,18,Sunday,2231,Evening,NW,LAS,DTW,1750,N
February,16,Tuesday,1321,Afternoon,US,SAN,CLT,2077,N
December,15,Wednesday,1257,Afternoon,OO,SFO,SMF,86,N
March,30,Tuesday,1240,Afternoon,WN,BWI,MDW,611,N
May,23,Monday,655,Morning,WN,GEG,SEA,224,N
August,31,Wednesday,1443,Afternoon,MQ,SNA,SJC,342,N
October,15,Friday,1800,Evening,DL,BWI,ATL,576,N
November,8,Monday,1800,Evening,OO,SPI,ORD,174,N
September,18,Sunday,1758,Afternoon,AA,DFW,MIA,1121,N
June,16,Wednesday,1207,Afternoon,XE,IAH,TUS,936,N
October,21,Thursday,1010,Morning,WN,SAT,HOU,192,N
December,9,Thursday,1530,Afternoon,MQ,SGF,DFW,364,Y
July,10,Sunday,950,Morning,MQ,LAX,SBA,89,N
April,6,Wednesday,926,Morning,DL,ATL,ELP,1282,N
October,12,Wednesday,942,Morning,AA,DFW,AUS,190,N
January,14,Thursday,1055,Morning,MQ,DFW,CVG,812,N
February,23,Wednesday,818,Morning,MQ,RDU,BOS,612,N
November,9,Tuesday,2114,Evening,FL,ATL,FLL,581,N
April,30,Sunday,1325,Afternoon,XE,ORD,IAH,925,Y
August,8,Monday,1732,Afternoon,UA,TPA,ORD,1012,N
September,24,Sunday,947,Morning,WN,TPA,FLL,197,N
April,27,Wednesday,1905,Evening,XE,IAH,TLH,658,Y
June,1,Wednesday,2249,Evening,XE,IAH,PHX,1009,N
January,30,Sunday,1224,Afternoon,EV,ELP,DFW,551,Y
October,10,Sunday,1534,Afternoon,HP,RNO,PHX,601,N
February,27,Sunday,1235,Afternoon,AA,MIA,STX,1139,N
November,3,Wednesday,1540,Afternoon,US,BOS,DCA,399,N
April,12,Monday,1041,Morning,US,DTW,DCA,405,N
September,30,Friday,1502,Afternoon,MQ,CLE,ORD,316,N
November,25,Thursday,1705,Afternoon,WN,MDW,IND,162,Y
July,27,Wednesday,1755,Afternoon,OO,BOI,SFO,522,N
November,20,Sunday,1821,Evening,AA,MIA,BOS,1258,N
March,5,Sunday,1532,Afternoon,MQ,DSM,ORD,299,Y
December,15,Thursday,612,Morning,UA,LAX,SEA,954,N
December,1,Wednesday,651,Morning,CO,FLL,EWR,1065,N
November,9,Tuesday,1935,Evening,WN,HOU,HRL,276,N
October,14,Thursday,1326,Afternoon,OO,MLI,ORD,139,N
December,8,Wednesday,1846,Evening,US,BUF,CLT,546,N
September,11,Sunday,1958,Evening,DL,SLC,CVG,1449,Y
March,10,Wednesday,1500,Afternoon,OH,CVG,CHO,342,N
July,31,Sunday,712,Morning,UA,LAX,PDX,834,N
June,5,Sunday,1727,Afternoon,XE,MEM,EWR,946,N
December,17,Sunday,738,Morning,WN,MCI,DEN,533,N
April,13,Tuesday,931,Morning,HP,SAN,PHX,304,N
October,12,Tuesday,627,Morning,OO,SFO,BOI,522,N
June,28,Monday,1115,Morning,UA,TPA,ORD,1012,Y
January,8,Friday,1637,Afternoon,MQ,CLL,DFW,164,N
February,21,Monday,559,Night,AA,LGA,ORD,733,N
October,4,Monday,1640,Afternoon,WN,MDW,IND,162,N
January,23,Sunday,1349,Afternoon,WN,PDX,GEG,279,N
April,6,Tuesday,749,Morning,UA,LAX,IAD,2288,N
February,28,Monday,730,Morning,WN,BHM,MDW,570,N
March,15,Monday,1209,Afternoon,B6,LGB,LAS,231,N
April,25,Monday,1725,Afternoon,WN,OAK,MDW,1844,N
May,4,Tuesday,1528,Afternoon,DL,STX,ATL,1638,Y
September,1,Thursday,2024,Evening,NW,MSP,RDU,981,Y
February,23,Tuesday,1851,Evening,UA,ORD,BUF,473,N
April,25,Monday,800,Morning,EV,BIL,SLC,387,N
July,24,Sunday,1625,Afternoon,DL,MDW,ATL,590,Y
October,10,Monday,709,Morning,MQ,GSP,DFW,862,N
August,12,Thursday,915,Morning,WN,BWI,ISP,220,N
December,10,Friday,1021,Morning,AS,SEA,PHX,1107,N
February,13,Sunday,1144,Morning,US,FLL,PHL,992,N
November,2,Tuesday,1542,Afternoon,XE,CLE,RDU,416,N
June,29,Wednesday,2307,Evening,OH,ATL,CLE,554,Y
April,10,Sunday,1236,Afternoon,AA,ORD,AUS,978,N
January,20,Wednesday,1530,Afternoon,WN,LAX,PHX,370,N
February,20,Sunday,1316,Afternoon,XE,IAH,TYS,772,N
December,13,Monday,944,Morning,XE,MKE,EWR,725,N
April,22,Thursday,1655,Afternoon,MQ,DCA,LGA,214,N
September,29,Thursday,1323,Afternoon,CO,IAH,ORD,925,N
December,18,Sunday,1414,Afternoon,WN,CRP,HOU,187,N
May,30,Sunday,638,Morning,DH,IAD,CLT,321,N
January,7,Thursday,650,Morning,WN,SAN,MDW,1728,N
December,11,Sunday,949,Morning,MQ,ICT,DFW,328,N
January,25,Monday,805,Morning,WN,MSY,HOU,303,N
August,3,Wednesday,2035,Evening,OO,DEN,MTJ,197,N
August,18,Wednesday,745,Morning,MQ,LBB,DFW,282,N
July,8,Friday,2218,Evening,US,SAN,CLT,2077,N
November,29,Monday,1411,Afternoon,DL,ATL,SYR,793,N
December,12,Sunday,930,Morning,OO,SMF,SLC,532,N
January,15,Friday,1824,Evening,MQ,CLE,ORD,316,N
November,14,Sunday,558,Night,UA,BOS,SFO,2704,N
December,7,Tuesday,1900,Evening,EV,ATL,HOU,696,Y
September,24,Sunday,2123,Evening,OH,CVG,SAT,1024,Y
March,16,Tuesday,1551,Afternoon,XE,IAH,JAN,351,N
July,6,Tuesday,1218,Afternoon,TZ,HNL,LAX,2556,N
October,2,Sunday,945,Morning,WN,BWI,MCI,967,N
April,12,Monday,2113,Evening,EV,ATL,MCN,79,Y
February,19,Sunday,2148,Evening,NW,DTW,ORF,529,Y
December,13,Tuesday,905,Morning,FL,PHL,MCO,861,N
November,29,Tuesday,817,Morning,AA,ORD,LAX,1745,N
March,10,Wednesday,2056,Evening,DL,CVG,SAT,1024,N
September,11,Sunday,847,Morning,NW,MSO,MSP,1013,N
December,28,Wednesday,632,Morning,HA,LIH,HNL,102,N
February,17,Wednesday,1742,Afternoon,CO,IAH,SEA,1874,N
August,23,Tuesday,603,Morning,US,ELP,PHX,347,N
May,16,Monday,1942,Evening,CO,EWR,ATL,745,N
May,2,Sunday,656,Morning,MQ,DFW,LIT,304,N
May,4,Wednesday,1952,Evening,MQ,ORD,LSE,215,N
May,8,Sunday,1851,Evening,CO,DFW,IAH,224,N
April,18,Monday,644,Morning,CO,MHT,EWR,209,N
October,17,Sunday,1505,Afternoon,US,DCA,BUF,296,N
January,15,Sunday,1320,Afternoon,WN,SJC,SEA,697,N
December,9,Thursday,1645,Afternoon,WN,AMA,DAL,324,Y
April,5,Tuesday,736,Morning,YV,DRO,DEN,251,N
January,23,Sunday,1508,Afternoon,FL,ATL,LGA,761,N
June,25,Friday,735,Morning,WN,PHL,MHT,290,N
June,28,Tuesday,1414,Afternoon,CO,PHL,IAH,1324,N
July,25,Sunday,1504,Afternoon,US,DCA,PWM,482,N
October,25,Monday,1807,Evening,UA,ORD,ATL,606,N
October,19,Tuesday,2001,Evening,OH,SRQ,CVG,812,N
December,22,Wednesday,1904,Evening,OH,CVG,DSM,505,N
February,8,Tuesday,908,Morning,CO,EWR,MIA,1086,N
November,25,Friday,632,Morning,CO,MHT,EWR,209,N
December,28,Tuesday,803,Morning,MQ,ORD,ALB,723,N
December,3,Friday,1454,Afternoon,F9,DEN,MDW,895,N
June,30,Wednesday,635,Morning,EV,DSM,ATL,743,N
October,14,Friday,1532,Afternoon,NW,MSP,BOS,1124,N
September,10,Sunday,1050,Morning,OH,BUF,JFK,301,N
March,21,Sunday,1310,Afternoon,WN,BNA,ISP,803,N
August,12,Friday,2048,Evening,US,LAS,PDX,762,N
October,25,Tuesday,745,Morning,MQ,ORD,SYR,607,N
December,2,Friday,636,Morning,XE,LIT,IAH,374,N
August,15,Sunday,1159,Morning,AA,DFW,BUR,1231,Y
July,7,Thursday,1247,Afternoon,US,LGA,CLT,544,N
February,23,Tuesday,1236,Afternoon,HP,LAX,JFK,2475,N
October,17,Monday,2113,Evening,WN,LAS,SLC,368,N
July,10,Sunday,600,Morning,OH,AUS,CVG,958,N
November,27,Sunday,1607,Afternoon,NW,MSP,MKE,297,Y
February,6,Sunday,1721,Afternoon,OO,CIC,SFO,153,N
January,20,Wednesday,2330,Evening,AA,SEA,DFW,1660,N
November,1,Tuesday,1932,Evening,CO,EWR,PHX,2133,N
August,17,Tuesday,2015,Evening,EV,ATL,GTR,241,Y
May,16,Monday,1110,Morning,OH,MCI,CVG,539,N
April,25,Sunday,526,Night,US,PHX,PHL,2075,N
September,2,Thursday,701,Morning,EV,ATW,ATL,765,N
August,1,Monday,945,Morning,MQ,DFW,BTR,383,N
July,12,Monday,1622,Afternoon,AA,LAX,BOS,2611,Y
February,5,Friday,940,Morning,WN,HOU,PHX,1020,N
May,25,Wednesday,1527,Afternoon,WN,PDX,SJC,569,Y
March,27,Sunday,1600,Afternoon,WN,AMA,DAL,324,N
July,23,Friday,557,Night,UA,RNO,DEN,804,N
November,30,Tuesday,904,Morning,WN,HOU,LAX,1390,N
August,10,Wednesday,1905,Evening,US,MIA,CLT,650,Y
January,25,Tuesday,847,Morning,AA,MCO,DFW,984,N
February,2,Tuesday,825,Morning,WN,OKC,HOU,419,Y
July,10,Sunday,2040,Evening,NW,FSD,LAS,1105,N
June,19,Sunday,622,Morning,OO,EUG,PDX,106,N
October,17,Sunday,930,Morning,WN,RNO,SJC,188,N
June,13,Sunday,1825,Evening,WN,ONT,SJC,333,N
October,20,Thursday,1542,Afternoon,YV,FWA,ORD,157,N
April,30,Friday,821,Morning,UA,MIA,ORD,1197,N
January,6,Wednesday,1820,Evening,WN,SJC,LAS,386,N
June,20,Sunday,2147,Evening,AS,SNA,PDX,859,Y
September,5,Monday,559,Night,WN,LAS,RNO,345,N
October,19,Wednesday,1502,Afternoon,MQ,LAS,LAX,236,N
July,21,Wednesday,722,Morning,EV,AUS,SLC,1085,N
March,28,Sunday,1359,Afternoon,AA,BWI,DFW,1217,N
April,17,Sunday,748,Morning,CO,IAH,FLL,965,N
April,30,Sunday,1624,Afternoon,CO,EWR,LAS,2227,N
February,28,Sunday,1730,Afternoon,UA,HNL,ORD,4243,N
May,11,Wednesday,1240,Afternoon,EV,ATL,PWM,1027,N
November,1,Tuesday,1100,Morning,EV,TRI,ATL,227,N
September,13,Tuesday,1723,Afternoon,MQ,LAX,FAT,209,N
July,19,Monday,829,Morning,NW,TPA,DTW,983,N
July,11,Monday,1325,Afternoon,B6,LGA,FLL,1076,N
March,2,Wednesday,926,Morning,OH,MEM,CVG,403,N
July,9,Sunday,2058,Evening,WN,MCO,MHT,1142,N
June,11,Sunday,801,Morning,DL,DFW,ATL,732,N
December,6,Monday,1148,Morning,MQ,DFW,ICT,328,Y
December,2,Thursday,1855,Evening,AA,DFW,SNA,1205,N
January,25,Tuesday,1006,Morning,NW,MSP,DTW,528,N
January,12,Wednesday,1705,Afternoon,WN,PIT,MDW,402,N
August,7,Sunday,2220,Evening,US,LAS,PHL,2176,N
August,19,Friday,1000,Morning,MQ,CID,ORD,196,Y
March,12,Sunday,1552,Afternoon,WN,HRL,HOU,276,N
November,6,Sunday,825,Morning,WN,PHL,MDW,668,N
September,28,Tuesday,1300,Afternoon,WN,DTW,MDW,229,N
June,26,Sunday,849,Morning,AS,SEA,ORD,1721,N
July,23,Friday,742,Morning,CO,EWR,DEN,1605,N
July,11,Monday,1157,Morning,XE,PIT,EWR,319,N
May,25,Tuesday,1406,Afternoon,AA,AUS,DFW,190,N
August,4,Wednesday,1328,Afternoon,AS,OAK,SNA,371,N
January,2,Sunday,2103,Evening,OH,CVG,XNA,561,N
August,23,Tuesday,1032,Morning,US,BWI,CLT,361,N
February,28,Monday,1536,Afternoon,XE,DSM,IAH,802,N
November,24,Wednesday,1146,Morning,CO,EWR,SFO,2565,N
November,21,Monday,655,Morning,EV,AVP,ATL,714,N
June,10,Friday,1141,Morning,CO,EWR,FLL,1065,N
August,18,Thursday,2033,Evening,WN,SAT,DAL,248,N
February,12,Friday,1430,Afternoon,OH,MYR,LGA,563,N
September,9,Thursday,832,Morning,OO,SFO,SNA,372,N
September,10,Friday,1553,Afternoon,US,PHL,TPA,920,N
December,11,Sunday,757,Morning,AA,ATL,DFW,732,N
April,28,Wednesday,1858,Evening,NW,MSP,AZO,426,N
February,10,Wednesday,1106,Morning,AA,MIA,LGA,1097,N
November,26,Friday,1247,Afternoon,CO,MYR,EWR,550,N
March,14,Monday,846,Morning,YV,DEN,EGE,121,N
August,20,Friday,2008,Evening,AA,MIA,LGA,1097,N
December,2,Thursday,829,Morning,US,ORD,DCA,612,N
September,2,Friday,1130,Morning,AA,MSP,DFW,852,N
October,26,Wednesday,1745,Afternoon,WN,LAX,LAS,236,N
November,12,Friday,1440,Afternoon,OH,CVG,TRI,216,N
March,26,Friday,1927,Evening,NW,MSP,MCO,1310,Y
March,8,Monday,1008,Morning,US,DCA,BUF,296,N
July,6,Tuesday,1107,Morning,OH,PHL,CVG,507,N
February,23,Wednesday,559,Night,XE,DAY,CLE,162,N
February,15,Monday,900,Morning,XE,EWR,GSO,446,N
August,27,Friday,711,Morning,UA,SMF,IAD,2358,N
August,1,Monday,1707,Afternoon,UA,SFO,SEA,679,N
November,14,Monday,1206,Afternoon,XE,EWR,LIT,1069,Y
June,22,Tuesday,1250,Afternoon,AS,SEA,ANC,1449,Y
January,4,Tuesday,1119,Morning,UA,ORD,DTW,235,Y
November,22,Monday,1541,Afternoon,HP,ONT,PHX,325,N
March,14,Sunday,1403,Afternoon,WN,LIT,DAL,296,N
June,23,Wednesday,1038,Morning,US,CHS,DCA,444,N
February,8,Monday,1837,Evening,OO,MSO,SLC,436,N
July,28,Wednesday,1752,Afternoon,CO,MSY,IAH,305,Y
May,30,Monday,2120,Evening,UA,DEN,MCI,533,N
May,21,Friday,1526,Afternoon,FL,ATL,PHL,665,N
August,21,Sunday,2014,Evening,DL,ATL,VPS,264,N
May,2,Monday,753,Morning,B6,JFK,FLL,1069,N
November,19,Sunday,1521,Afternoon,WN,MCO,PHL,861,N
February,18,Thursday,1118,Morning,NW,BWI,MSP,936,N
May,10,Monday,1026,Morning,OO,MTJ,DEN,197,N
February,7,Sunday,2330,Evening,EV,ATL,DAB,366,Y
November,9,Tuesday,1305,Afternoon,AA,MCO,SJU,1189,N
November,22,Monday,955,Morning,WN,PHX,SNA,338,N
October,23,Sunday,1625,Afternoon,EV,MYR,ATL,317,N
August,17,Wednesday,1955,Evening,UA,MCI,DEN,533,Y
April,29,Thursday,1901,Evening,DL,ATL,SDF,321,N
July,17,Sunday,2136,Evening,FL,ATL,LAS,1747,N
September,2,Thursday,1947,Evening,AA,DFW,BNA,631,N
July,27,Tuesday,1107,Morning,B6,OAK,JFK,2576,N
March,16,Wednesday,1448,Afternoon,DL,CVG,DCA,411,N
July,12,Monday,1632,Afternoon,XE,BHM,IAH,562,N
October,27,Thursday,1926,Evening,WN,HOU,DAL,239,Y
May,3,Monday,1026,Morning,DL,ATL,CVG,373,N
January,8,Friday,741,Morning,AA,MSY,DFW,448,N
March,23,Wednesday,1400,Afternoon,DL,LGA,ATL,761,N
June,29,Wednesday,632,Morning,MQ,ORD,CLT,599,N
December,17,Sunday,650,Morning,FL,PHL,BOS,280,N
November,15,Monday,1738,Afternoon,AA,DFW,CLT,936,Y
July,11,Monday,1955,Evening,F9,MCI,DEN,533,N
September,17,Sunday,920,Morning,WN,OKC,HOU,419,N
April,8,Friday,935,Morning,WN,OAK,SLC,588,N
December,13,Tuesday,607,Morning,MQ,RDU,JFK,426,N
April,7,Thursday,1507,Afternoon,YV,DEN,HDN,142,N
January,4,Monday,1333,Afternoon,OO,FAT,LAS,258,Y
September,10,Sunday,831,Morning,WN,TPA,SAT,972,N
July,7,Wednesday,1740,Afternoon,AA,LAS,ORD,1515,N
July,8,Friday,817,Morning,WN,CLE,STL,487,N
February,28,Monday,904,Morning,MQ,DFW,OKC,175,N
August,25,Thursday,1142,Morning,OO,ORD,TVC,224,Y
July,9,Friday,1020,Morning,XE,IAH,CRW,975,N
December,31,Sunday,1519,Afternoon,DL,ATL,MIA,595,N
September,23,Thursday,957,Morning,AA,LAX,ORD,1745,N
June,27,Monday,1535,Afternoon,MQ,ORD,BUF,473,N
August,10,Wednesday,2246,Evening,US,PHL,BOS,280,Y
September,7,Wednesday,2102,Evening,AA,DFW,MFE,468,N
February,26,Friday,919,Morning,DH,IAD,CMH,299,N
June,25,Sunday,1439,Afternoon,CO,IAH,AUS,140,Y
July,22,Thursday,1210,Afternoon,NW,DTW,SEA,1927,N
September,22,Thursday,1340,Afternoon,US,PHX,SAN,304,N
October,4,Monday,1606,Afternoon,AA,DFW,PHX,868,N
July,21,Thursday,710,Morning,OH,CHA,CVG,278,Y
December,12,Monday,1841,Evening,US,MIA,CLT,650,N
September,7,Wednesday,1639,Afternoon,DL,PHL,ATL,665,N
August,11,Thursday,1746,Afternoon,DL,ORD,SLC,1249,Y
August,4,Wednesday,1924,Evening,OO,LAX,FAT,209,N
October,16,Sunday,1657,Afternoon,AA,HNL,LAX,2556,Y
November,1,Monday,1506,Afternoon,NW,TVC,DTW,207,N
February,24,Wednesday,1820,Evening,MQ,RDU,BOS,612,N
November,16,Tuesday,1123,Morning,XE,LBB,IAH,458,Y
August,18,Wednesday,1708,Afternoon,CO,EWR,SNA,2433,Y
December,7,Tuesday,1240,Afternoon,UA,PIT,ORD,412,N
October,12,Tuesday,1431,Afternoon,XE,STL,EWR,872,Y
October,31,Sunday,940,Morning,OH,JFK,RDU,426,N
March,20,Sunday,633,Morning,F9,SFO,DEN,967,N
August,30,Monday,1147,Morning,AA,IAD,DFW,1172,N
September,27,Tuesday,1145,Morning,XE,CMH,IAH,986,N
August,18,Wednesday,837,Morning,NW,CMH,MSP,627,Y
April,6,Tuesday,817,Morning,OO,SLC,COD,298,N
March,13,Sunday,1550,Afternoon,XE,CLE,HPN,425,N
January,4,Monday,853,Morning,WN,DAL,SAT,248,N
June,10,Thursday,828,Morning,OO,SLC,ONT,558,N
September,20,Monday,635,Morning,WN,AMA,DAL,324,N
July,1,Friday,645,Morning,NW,PIT,DTW,201,N
January,28,Thursday,1818,Evening,WN,ONT,LAS,197,Y
August,13,Sunday,1838,Evening,DL,CMH,LAX,1996,Y
April,13,Tuesday,2004,Evening,B6,JFK,LAS,2248,Y
June,22,Tuesday,1026,Morning,EV,TOL,ATL,549,N
June,21,Tuesday,829,Morning,UA,IAD,LAX,2288,N
December,10,Sunday,1803,Evening,CO,IAH,PDX,1825,N
November,14,Monday,1349,Afternoon,FL,ATL,RIC,481,N
May,1,Sunday,1919,Evening,MQ,SJC,LAX,308,N
October,6,Thursday,1712,Afternoon,DL,ATL,MCO,403,N
October,29,Sunday,1749,Afternoon,NW,LGA,DTW,501,Y
February,11,Friday,1105,Morning,YV,PHX,FAT,493,N
August,25,Thursday,1201,Afternoon,CO,EWR,MYR,550,N
December,22,Thursday,1622,Afternoon,AS,SNA,SEA,978,Y
May,20,Thursday,1336,Afternoon,AA,DFW,BOS,1562,N
June,10,Friday,908,Morning,MQ,RDU,JFK,426,N
July,21,Thursday,824,Morning,WN,SAT,HRL,233,N
March,25,Thursday,658,Morning,DL,DFW,ATL,732,N
November,11,Thursday,624,Morning,CO,SFO,IAH,1635,N
July,21,Thursday,2147,Evening,DL,ATL,SFO,2139,Y
September,9,Thursday,1502,Afternoon,F9,DEN,MCI,533,N
January,7,Thursday,1340,Afternoon,WN,MDW,ISP,765,N
August,10,Wednesday,1251,Afternoon,AS,SEA,LAX,954,Y
September,2,Friday,1849,Evening,FL,MCO,ATL,403,Y
January,6,Thursday,1006,Morning,UA,SFO,IAD,2419,N
August,22,Sunday,1425,Afternoon,OO,SLC,PIH,150,Y
October,28,Friday,2041,Evening,MQ,DFW,LBB,282,N
July,27,Wednesday,646,Morning,WN,MCO,MSY,550,N
March,14,Monday,828,Morning,UA,MIA,ORD,1197,N
November,15,Tuesday,1220,Afternoon,HA,OGG,HNL,100,N
December,2,Thursday,1220,Afternoon,WN,BNA,LAS,1588,N
November,20,Sunday,2034,Evening,US,PHL,MCO,861,N
July,9,Sunday,1233,Afternoon,AA,ORD,FLL,1182,N
May,4,Tuesday,853,Morning,UA,LAX,ORD,1745,N
September,3,Sunday,1806,Evening,YV,PHX,OMA,1037,N
August,9,Monday,1455,Afternoon,EV,CVG,AVL,275,N
August,16,Tuesday,804,Morning,WN,SLC,PHX,507,N
January,23,Sunday,1658,Afternoon,MQ,LAX,SAN,109,N
November,20,Sunday,651,Morning,XE,DAL,IAH,217,N
December,21,Tuesday,2302,Evening,HP,LAS,PHL,2176,N
October,15,Friday,722,Morning,UA,ICT,DEN,419,N
June,24,Thursday,1149,Morning,DL,JAX,CVG,614,N
July,4,Monday,1028,Morning,WN,BHM,MCO,478,N
November,22,Monday,1100,Morning,WN,LAS,SAN,258,N
July,22,Friday,1535,Afternoon,WN,JAX,FLL,318,N
February,26,Sunday,610,Morning,WN,STL,HOU,687,N
June,4,Sunday,1755,Afternoon,OH,LAN,CVG,258,N
May,20,Friday,710,Morning,WN,HOU,TPA,781,N
March,23,Tuesday,1045,Morning,UA,LAS,LAX,236,N
July,22,Friday,1444,Afternoon,MQ,RDU,JFK,426,Y
January,27,Wednesday,1900,Evening,AA,STL,DFW,551,N
April,16,Friday,1710,Afternoon,FL,FLL,ATL,581,N
March,31,Wednesday,2002,Evening,NW,ORD,MSP,334,N
April,22,Friday,2155,Evening,YV,IAD,JFK,228,N
August,23,Monday,737,Morning,CO,IAH,LAS,1222,N
December,1,Thursday,822,Morning,NW,MSP,BDL,1050,Y
February,11,Friday,1410,Afternoon,WN,SEA,ABQ,1180,N
July,22,Friday,731,Morning,WN,SEA,PHX,1107,N
March,15,Monday,1854,Evening,WN,TPA,FLL,197,Y
April,12,Tuesday,852,Morning,XE,EWR,BTR,1182,N
March,5,Friday,1550,Afternoon,XE,CRP,IAH,201,N
April,18,Monday,1608,Afternoon,US,CLT,EWR,529,N
July,17,Sunday,1918,Evening,WN,MCO,ALB,1073,Y
June,12,Sunday,919,Morning,WN,SJC,LAX,308,N
May,6,Friday,1111,Morning,OO,DEN,CPR,230,N
May,30,Monday,2219,Evening,UA,LAX,MCO,2217,N
February,13,Sunday,1015,Morning,WN,PDX,ABQ,1111,N
March,1,Monday,1708,Afternoon,AA,LAX,HNL,2556,N
January,11,Monday,703,Morning,MQ,CMH,ORD,296,N
July,9,Sunday,2053,Evening,WN,PHX,HOU,1020,Y
July,19,Monday,1844,Evening,OH,JAX,LGA,834,Y
June,12,Sunday,851,Morning,XE,ABQ,IAH,744,N
October,9,Sunday,2051,Evening,TZ,EWR,MDW,711,Y
August,17,Tuesday,1755,Afternoon,OH,BOS,ORF,468,N
November,6,Sunday,718,Morning,OO,DEN,DFW,641,N
July,7,Thursday,1010,Morning,AA,JFK,LAX,2475,N
October,26,Wednesday,541,Night,FL,CAK,ATL,528,N
October,6,Thursday,704,Morning,NW,MSP,DTW,528,N
December,11,Sunday,915,Morning,XE,DTW,EWR,487,N
November,14,Monday,1943,Evening,AA,MCO,ORD,1005,N
October,29,Friday,1912,Evening,AA,ORD,MSP,334,N
August,22,Sunday,1805,Evening,AA,DFW,LAX,1235,Y
March,5,Friday,957,Morning,DL,MKE,ATL,669,N
December,23,Friday,2229,Evening,OO,ORD,MKE,67,N
May,1,Sunday,1848,Evening,AA,DFW,MEM,432,N
September,13,Monday,910,Morning,NW,MSP,SMF,1518,N
March,11,Thursday,734,Morning,UA,JAC,DEN,406,N
September,10,Friday,554,Night,UA,PDX,LAX,834,N
December,7,Tuesday,1535,Afternoon,WN,SAN,OAK,446,N
June,9,Wednesday,1919,Evening,DL,ATL,MOB,302,Y
August,14,Sunday,1647,Afternoon,HA,LIH,HNL,102,N
April,21,Wednesday,1257,Afternoon,OO,DEN,LNK,423,N
October,24,Sunday,1457,Afternoon,HP,DEN,PHX,602,N
November,28,Monday,625,Morning,OH,ORF,CVG,485,N
November,12,Friday,835,Morning,DL,DAY,ATL,432,N
January,20,Wednesday,1047,Morning,UA,TPA,DEN,1506,N
October,30,Sunday,857,Morning,NW,MSP,MOT,449,N
April,7,Wednesday,1425,Afternoon,MQ,LAX,SAN,109,N
July,19,Monday,1711,Afternoon,NW,CMH,DTW,155,N
May,15,Sunday,1836,Evening,AA,DFW,COS,592,N
February,15,Tuesday,700,Morning,WN,BUR,LAS,223,N
January,7,Thursday,833,Morning,DL,ATL,SMF,2092,N
December,4,Sunday,921,Morning,WN,BNA,RDU,443,N
November,26,Friday,1826,Evening,OO,LAX,YUM,237,N
February,2,Wednesday,655,Morning,WN,AUS,MDW,972,N
April,1,Friday,1805,Evening,XE,CLE,DAY,162,N
September,30,Thursday,1252,Afternoon,MQ,CMH,LGA,478,Y
August,28,Sunday,633,Morning,AA,LAX,DFW,1235,N
June,5,Sunday,1436,Afternoon,NW,MSN,MSP,228,N
May,3,Monday,939,Morning,US,PHL,RSW,992,N
December,12,Monday,2108,Evening,AA,DFW,AUS,190,N
March,27,Sunday,1904,Evening,AA,DFW,SDF,733,N
May,16,Monday,1627,Afternoon,US,SLC,PHX,507,N
September,6,Monday,1734,Afternoon,NW,DTW,LAN,74,N
March,2,Tuesday,2043,Evening,MQ,DCA,BOS,399,N
January,21,Thursday,848,Morning,HA,HNL,KOA,163,N
January,3,Sunday,851,Morning,DL,BOS,PBI,1197,N
January,22,Sunday,1244,Afternoon,AA,LGA,DFW,1389,N
July,2,Sunday,1705,Afternoon,UA,DEN,OAK,957,N
March,21,Monday,1525,Afternoon,UA,MSP,ORD,334,N
May,30,Monday,932,Morning,AA,DFW,SAT,247,N
August,15,Sunday,1147,Morning,CO,ABQ,IAH,744,Y
June,28,Tuesday,1226,Afternoon,YV,IAD,EWR,213,N
August,1,Monday,2045,Evening,XE,EWR,LIT,1069,Y
February,12,Sunday,1642,Afternoon,MQ,CLL,DFW,164,N
June,1,Wednesday,1456,Afternoon,UA,EWR,ORD,719,Y
May,9,Monday,1701,Afternoon,OO,ORD,CID,196,N
February,10,Thursday,2029,Evening,HA,OGG,HNL,100,N
July,28,Wednesday,1251,Afternoon,OO,SFO,SMF,86,N
May,30,Monday,2152,Evening,XE,IAH,CRP,201,Y
November,11,Friday,1657,Afternoon,AA,DFW,BWI,1217,N
November,13,Sunday,1920,Evening,MQ,DFW,LAW,140,N
July,23,Friday,659,Morning,FL,RIC,PHL,198,N
February,18,Friday,1042,Morning,FL,BOS,BWI,370,N
October,17,Sunday,1010,Morning,WN,OKC,MCI,313,N
July,22,Friday,750,Morning,YV,STL,CLT,575,N
March,1,Tuesday,2133,Evening,B6,LGB,FLL,2327,N
November,28,Sunday,707,Morning,NW,MSP,EWR,1008,N
August,16,Tuesday,1422,Afternoon,WN,SLC,LAS,368,N
March,7,Sunday,1358,Afternoon,MQ,SPS,DFW,113,N
June,7,Tuesday,1802,Evening,OO,SFO,PSP,421,N
May,4,Tuesday,626,Morning,XE,SAV,IAH,851,N
May,11,Tuesday,940,Morning,AA,ORD,RNO,1671,Y
September,23,Thursday,2358,Evening,AA,LAX,ORD,1745,N
August,30,Tuesday,1114,Morning,NW,MSP,CID,221,N
October,13,Wednesday,1320,Afternoon,UA,ORD,PVD,849,N
May,22,Sunday,1753,Afternoon,XE,ORF,IAH,1201,N
December,4,Sunday,2033,Evening,AA,LGA,ATL,761,Y
July,10,Sunday,1824,Evening,NW,MEM,LGA,963,N
November,17,Thursday,2106,Evening,US,PHL,PIT,267,Y
