age,type of employment,estimated number of people represented,education level,marital status,occupation,relationship,race,gender,capital gains,capital losses,hours of work per week,native-country,income
27,Private,216481,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,188027,Some-college,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
37,Private,66686,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
41,Private,74775,Bachelors,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,30,Vietnam,<=50K
65,Unknown,325537,Assoc-voc,Married-civ-spouse,Unknown,Husband,White,Male,0,0,50,United-States,>50K
30,Self-emp-not-inc,250499,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,55,United-States,>50K
57,Self-emp-not-inc,192869,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,<=50K
44,Self-emp-inc,121352,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
32,Self-emp-not-inc,70985,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,4064,0,40,United-States,<=50K
27,Self-emp-not-inc,123116,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
57,Local-gov,339163,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,Mexico,<=50K
59,Self-emp-not-inc,124771,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K
32,Private,167531,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15024,0,50,United-States,>50K
90,Unknown,77053,HS-grad,Widowed,Unknown,Not-in-family,White,Female,0,4356,40,United-States,<=50K
22,Private,199266,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,<=50K
39,Private,190728,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
43,Private,99212,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,48,United-States,>50K
38,Local-gov,421446,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,>50K
61,Private,215944,9th,Divorced,Sales,Not-in-family,White,Male,0,0,25,United-States,<=50K
24,Private,72310,Some-college,Never-married,Sales,Own-child,White,Male,0,0,43,United-States,<=50K
25,Private,57512,Some-college,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
44,Private,89413,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
55,Local-gov,28151,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,>50K
90,Private,46786,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,9386,0,15,United-States,>50K
30,Private,226943,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
44,Private,182402,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
36,Private,305352,10th,Divorced,Craft-repair,Other-relative,Black,Male,0,0,40,United-States,<=50K
63,Self-emp-inc,189253,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
60,Private,296485,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
34,Self-emp-not-inc,204375,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K
49,Self-emp-not-inc,249585,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
47,Private,148995,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,>50K
42,Self-emp-inc,168071,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,43,United-States,>50K
53,Private,194995,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Italy,<=50K
23,Private,211049,Some-college,Never-married,Tech-support,Not-in-family,White,Female,4101,0,40,United-States,<=50K
28,Unknown,196630,Assoc-voc,Separated,Unknown,Unmarried,White,Female,0,0,40,Mexico,<=50K
20,Private,50397,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,0,0,35,United-States,<=50K
43,Private,177905,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3908,0,40,United-States,<=50K
32,Private,204374,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
43,Private,60001,Bachelors,Divorced,Sales,Unmarried,White,Male,0,0,44,United-States,>50K
31,Private,223046,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
29,Unknown,44921,HS-grad,Married-civ-spouse,Unknown,Wife,White,Female,0,0,40,United-States,<=50K
24,Private,154571,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,0,0,20,United-States,<=50K
39,Private,67136,Assoc-voc,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
29,Private,188675,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Jamaica,>50K
20,Private,390817,5th-6th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,25,Mexico,<=50K
23,Unknown,145964,Some-college,Never-married,Unknown,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,30424,11th,Separated,Other-service,Unmarried,White,Female,0,0,38,United-States,<=50K
53,Private,548361,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
20,Private,189148,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,United-States,<=50K
58,Self-emp-not-inc,266707,1st-4th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2179,18,United-States,<=50K
51,Self-emp-not-inc,311569,HS-grad,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,187653,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States,<=50K
38,Private,235379,Assoc-acdm,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,<=50K
41,Private,188615,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
58,Private,322691,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
25,Private,184698,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Dominican-Republic,<=50K
50,Private,144361,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,130057,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Self-emp-inc,117963,Doctorate,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,123876,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
37,Private,248445,HS-grad,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,40,El-Salvador,<=50K
32,Private,207172,Some-college,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
46,State-gov,119904,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,55,United-States,>50K
62,Private,134768,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
40,Local-gov,269168,HS-grad,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,Unknown,<=50K
56,Private,132026,Bachelors,Married-civ-spouse,Sales,Husband,Black,Male,7688,0,45,United-States,>50K
37,Private,60722,Some-college,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Japan,>50K
41,Private,648223,1st-4th,Married-spouse-absent,Farming-fishing,Unmarried,White,Male,0,0,40,Mexico,<=50K
56,Private,298695,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
20,Private,219835,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
34,Self-emp-not-inc,313729,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
45,Private,140644,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
30,Private,203488,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
51,Self-emp-not-inc,132341,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
27,Private,161683,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,42,United-States,<=50K
38,Private,312771,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
39,Private,258102,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
57,Unknown,24127,Bachelors,Married-civ-spouse,Unknown,Husband,White,Male,0,0,8,United-States,<=50K
47,Private,254367,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
77,Unknown,185426,HS-grad,Married-civ-spouse,Unknown,Husband,White,Male,0,0,15,United-States,<=50K
43,Private,152629,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
46,Local-gov,141058,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
41,Private,233130,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
20,Private,406641,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
30,State-gov,119422,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,255486,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,25,United-States,<=50K
22,Private,161532,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,35,United-States,<=50K
25,Private,75759,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,>50K
18,Private,163332,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,22,United-States,<=50K
28,Private,103802,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,0,1408,40,Unknown,<=50K
50,Private,34832,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,40,United-States,>50K
28,Private,37933,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,0,0,48,United-States,<=50K
21,Private,165107,Some-college,Never-married,Priv-house-serv,Own-child,White,Female,0,0,40,United-States,<=50K
37,Private,126011,Assoc-voc,Divorced,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
28,Federal-gov,56651,Bachelors,Never-married,Prof-specialty,Own-child,Black,Female,0,0,40,United-States,<=50K
23,Private,522881,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Mexico,<=50K
32,Private,191777,Assoc-voc,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,35,England,<=50K
27,Private,132686,12th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,50,United-States,<=50K
55,Private,201112,HS-grad,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
44,Private,174283,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
25,Private,208591,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,126399,HS-grad,Divorced,Sales,Unmarried,White,Female,0,0,32,United-States,<=50K
50,Private,142073,HS-grad,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
18,Private,395567,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
74,Private,180455,Bachelors,Widowed,Other-service,Not-in-family,White,Female,0,0,8,United-States,<=50K
22,Private,235853,9th,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,160731,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
27,State-gov,31935,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,80,United-States,<=50K
41,Private,35166,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
24,Private,161092,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
23,Private,223019,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
34,Self-emp-not-inc,179673,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,United-States,>50K
46,State-gov,248895,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
32,Private,200323,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
41,Private,230020,HS-grad,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-States,<=50K
29,Private,134890,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
48,Private,162096,9th,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,0,0,45,China,<=50K
51,Private,103824,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,Haiti,<=50K
34,State-gov,61431,12th,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
58,Private,197319,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
52,Private,183618,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
37,Self-emp-not-inc,268598,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Other,Male,7298,0,50,Puerto-Rico,>50K
53,Private,263729,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
54,Private,39493,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
36,Private,185360,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
25,Private,132661,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,0,0,60,United-States,<=50K
20,Private,266400,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,48,United-States,<=50K
23,Private,433669,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Self-emp-inc,216473,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
20,Self-emp-not-inc,217404,10th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,227778,Assoc-voc,Never-married,Other-service,Other-relative,Black,Male,0,0,40,United-States,<=50K
73,State-gov,96262,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
67,Private,247566,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,24,United-States,<=50K
56,Private,139616,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K
32,Private,73585,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,37869,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1590,40,United-States,<=50K
33,Private,165814,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,108913,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,34975,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
31,Private,157078,10th,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
59,Private,232672,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
21,Private,294295,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
58,Self-emp-inc,130454,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
24,Local-gov,461678,10th,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,State-gov,252284,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,256737,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
33,Local-gov,96480,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany,<=50K
25,Private,234263,Bachelors,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,109952,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
24,Private,262570,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,65716,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
68,Private,201732,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
66,Self-emp-not-inc,174788,Some-college,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
38,Private,278924,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,101593,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
71,Unknown,193863,7th-8th,Widowed,Unknown,Other-relative,White,Female,0,0,16,Poland,<=50K
37,Private,342768,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
54,Self-emp-not-inc,242606,Masters,Married-civ-spouse,Sales,Husband,White,Male,4386,0,45,United-States,>50K
27,State-gov,176727,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,99179,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,State-gov,354104,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,United-States,<=50K
25,Private,61956,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
47,Federal-gov,137917,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
40,Private,224658,Some-college,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
38,Private,51100,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,3325,0,40,United-States,<=50K
25,Private,224361,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,362912,Some-college,Never-married,Craft-repair,Own-child,White,Female,0,0,50,United-States,<=50K
23,Private,218782,10th,Never-married,Handlers-cleaners,Other-relative,Other,Male,0,0,40,United-States,<=50K
28,Private,103389,Masters,Divorced,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,308944,HS-grad,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,140092,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,202210,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
52,Private,416059,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
33,Self-emp-not-inc,281030,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,94,United-States,<=50K
19,Private,169758,Some-college,Never-married,Sales,Own-child,White,Male,0,0,35,United-States,<=50K
68,Private,193666,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,55,United-States,>50K
41,Private,139907,10th,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,50,United-States,<=50K
18,Self-emp-inc,119422,HS-grad,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,30,India,<=50K
29,Private,149324,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,>50K
40,Private,259307,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
51,Self-emp-not-inc,74160,Masters,Divorced,Prof-specialty,Unmarried,White,Male,0,0,60,United-States,>50K
49,Private,134797,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,State-gov,41103,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
38,Local-gov,193026,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
57,Private,303986,5th-6th,Never-married,Other-service,Not-in-family,White,Male,0,0,40,Cuba,<=50K
35,Private,126569,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,<=50K
66,Private,166461,11th,Married-civ-spouse,Sales,Husband,White,Male,0,0,26,United-States,<=50K
27,Unknown,61387,Bachelors,Married-civ-spouse,Unknown,Husband,White,Male,0,0,15,United-States,<=50K
25,Private,254746,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
77,Unknown,28678,Masters,Married-civ-spouse,Unknown,Husband,White,Male,9386,0,6,United-States,>50K
19,Unknown,180976,10th,Never-married,Unknown,Unmarried,White,Female,0,0,35,United-States,<=50K
70,Private,282642,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K
59,Self-emp-not-inc,136413,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,United-States,<=50K
25,Private,131463,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
44,Local-gov,177240,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,10520,0,40,United-States,>50K
37,Private,218490,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,El-Salvador,>50K
75,Unknown,260543,10th,Widowed,Unknown,Other-relative,Asian-Pac-Islander,Female,0,0,1,China,<=50K
21,Unknown,80680,HS-grad,Never-married,Unknown,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,20728,HS-grad,Never-married,Sales,Own-child,White,Female,4101,0,40,United-States,<=50K
47,Federal-gov,117628,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
20,Private,91939,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1721,30,United-States,<=50K
32,State-gov,175931,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,309566,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
53,Private,123703,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
19,Unknown,369678,HS-grad,Never-married,Unknown,Not-in-family,Other,Male,0,0,30,United-States,<=50K
58,Private,29928,Some-college,Married-civ-spouse,Sales,Wife,White,Female,0,0,36,United-States,<=50K
22,Private,167868,HS-grad,Never-married,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
23,Private,235894,11th,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
21,Private,189888,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,3325,0,60,United-States,<=50K
36,Private,111545,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K
39,Private,175972,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,United-States,<=50K
34,Local-gov,254270,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Local-gov,185057,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
72,Private,157593,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,1455,0,6,United-States,<=50K
34,Private,101345,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,>50K
51,Local-gov,176751,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K
32,Self-emp-not-inc,97723,Assoc-voc,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,127601,Some-college,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
37,Private,227597,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
21,Unknown,143995,Some-college,Never-married,Unknown,Own-child,Black,Male,0,0,20,United-States,<=50K
21,Private,250051,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,<=50K
26,Private,284078,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,207668,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1887,40,United-States,>50K
18,Private,163787,Some-college,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
27,Private,119170,11th,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
20,Private,188612,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,0,38,Nicaragua,<=50K
36,Private,114605,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
31,Unknown,317761,Bachelors,Never-married,Unknown,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,164197,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
54,Private,329266,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K
34,Local-gov,207383,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
46,Private,123598,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
33,Private,259931,11th,Separated,Machine-op-inspct,Other-relative,White,Male,0,0,30,United-States,<=50K
32,Private,134737,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
42,Private,106900,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,87054,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
37,Private,82622,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
28,Private,181659,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,321205,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,4101,0,35,United-States,<=50K
44,Self-emp-not-inc,231348,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
40,Private,276096,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,290560,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
21,Private,307315,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K
39,State-gov,99156,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
24,Private,237928,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,39,United-States,<=50K
46,Private,153501,HS-grad,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
47,Unknown,149700,Bachelors,Married-civ-spouse,Unknown,Husband,White,Male,0,0,36,United-States,>50K
47,Private,189680,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
35,Private,374524,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,75,United-States,>50K
60,Self-emp-not-inc,127805,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
35,Private,150217,Bachelors,Married-civ-spouse,Other-service,Wife,White,Female,0,0,24,Poland,<=50K
33,Private,295649,HS-grad,Separated,Other-service,Unmarried,White,Female,0,0,40,China,<=50K
